,Chromatic Lass,Little O Little E,Bank Card,Gattolottasparkle,Phantom Queen,Lady Gangster,Las Vegas Blvd,Warriorinthehouse,Blue Mountain,Valued Energy
16-12-2022 10:47:56.344347,"(2.6, 3.25, 2.95)","(31.0, 560.0, 204.66666666666666)","(31.0, 980.0, 789.4)","(20.0, 980.0, 499.25)","(11.0, 60.0, 47.875)","(17.0, 450.0, 160.0)","(8.0, 8.6, 8.399999999999999)","(12.0, 370.0, 211.55555555555557)","(2.15, 2.44, 2.256666666666667)","(21.0, 610.0, 374.0)"
16-12-2022 10:47:58.349849,"(2.6, 3.2, 2.95)","(31.0, 560.0, 115.83333333333333)","(31.0, 980.0, 789.4)","(20.0, 980.0, 499.25)","(11.0, 60.0, 52.0)","(17.0, 450.0, 87.5)","(8.0, 8.6, 8.399999999999999)","(12.0, 370.0, 14.75)","(2.15, 2.44, 2.256666666666667)","(21.0, 610.0, 374.0)"
16-12-2022 10:48:00.162389,"(2.6, 3.2, 2.95)","(31.0, 560.0, 115.83333333333333)","(31.0, 980.0, 789.4)","(20.0, 980.0, 499.25)","(11.0, 60.0, 48.0)","(17.0, 450.0, 87.5)","(8.0, 8.6, 8.399999999999999)","(12.0, 15.0, 217.11111111111111)","(2.15, 2.44, 2.256666666666667)","(21.0, 610.0, 374.0)"
16-12-2022 10:48:01.761169,"(2.6, 3.2, 2.95)","(31.0, 560.0, 160.25)","(31.0, 980.0, 252.0)","(20.0, 980.0, 499.25)","(11.0, 60.0, 29.666666666666668)","(17.0, 450.0, 107.5)","(8.0, 8.6, 8.399999999999999)","(14.0, 380.0, 235.58333333333331)","(2.15, 2.44, 2.256666666666667)","(21.0, 610.0, 193.66666666666666)"
16-12-2022 10:48:03.336648,"(2.6, 3.2, 2.95)","(31.0, 560.0, 240.2)","(31.0, 700.0, 252.0)","(20.0, 980.0, 595.4000000000001)","(11.0, 65.0, 29.666666666666668)","(17.0, 200.0, 107.5)","(8.0, 8.6, 8.399999999999999)","(14.0, 280.0, 241.92857142857142)","(2.15, 2.44, 2.256666666666667)","(21.0, 280.0, 193.66666666666666)"
16-12-2022 10:48:04.921005,"(2.6, 3.2, 2.95)","(31.0, 560.0, 240.2)","(31.0, 700.0, 252.0)","(20.0, 980.0, 499.75)","(11.0, 65.0, 29.666666666666668)","(17.0, 200.0, 107.5)","(8.0, 8.6, 8.399999999999999)","(14.0, 280.0, 241.92857142857142)","(2.15, 2.44, 2.256666666666667)","(21.0, 280.0, 193.66666666666666)"
16-12-2022 10:48:06.495402,"(2.6, 3.1, 2.9235294117647057)","(31.0, 560.0, 240.2)","(31.0, 700.0, 252.0)","(20.0, 980.0, 499.75)","(11.0, 65.0, 29.666666666666668)","(17.0, 200.0, 107.5)","(8.0, 8.6, 8.399999999999999)","(14.0, 280.0, 79.07142857142857)","(2.15, 2.44, 2.256666666666667)","(21.0, 280.0, 87.0)"
16-12-2022 10:48:08.124153,"(2.6, 3.1, 2.9235294117647057)","(31.0, 560.0, 240.2)","(31.0, 700.0, 140.0)","(20.0, 980.0, 499.75)","(11.0, 65.0, 29.666666666666668)","(16.0, 200.0, 107.5)","(7.5, 8.6, 8.0)","(14.0, 90.0, 79.07142857142857)","(2.15, 2.44, 2.245)","(21.0, 120.0, 87.0)"
16-12-2022 10:48:09.661141,"(2.5, 3.1, 2.9235294117647057)","(31.0, 560.0, 240.2)","(31.0, 700.0, 140.0)","(20.0, 980.0, 499.75)","(11.0, 65.0, 29.666666666666668)","(16.0, 200.0, 107.5)","(7.5, 8.6, 8.0)","(14.0, 90.0, 79.07142857142857)","(2.15, 2.32, 2.245)","(21.0, 120.0, 87.0)"
16-12-2022 10:48:11.115996,"(2.5, 3.1, 2.9235294117647057)","(31.0, 560.0, 240.2)","(31.0, 700.0, 140.0)","(20.0, 980.0, 739.875)","(11.0, 65.0, 29.666666666666668)","(16.0, 200.0, 107.5)","(7.5, 8.6, 8.0)","(14.0, 90.0, 79.07142857142857)","(2.15, 2.32, 2.245)","(21.0, 120.0, 87.0)"
