,Hello Tiger,Blue Blazer,Sante Fe Trail,Swift Choice,Dough To Go,Raining Vodka
10-01-2023 19:28:54.281840,"(4.8, 9.4, 6.747368421052632)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:28:55.429186,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:28:56.679883,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:28:57.856072,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:28:58.937876,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:28:59.988061,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:01.133411,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:02.280245,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:03.405955,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:04.600429,"(4.8, 9.4, 6.25)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:05.723798,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:06.624747,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:07.750086,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:08.903587,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:10.036365,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:11.172499,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:12.359825,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:13.454922,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:14.550184,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:15.640040,"(4.8, 9.4, 7.35)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:16.776353,"(4.8, 9.0, 7.242857142857143)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:17.858620,"(4.8, 9.4, 7.537931034482759)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:18.967429,"(4.8, 9.4, 7.537931034482759)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:20.086979,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:21.136185,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:22.306654,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
10-01-2023 19:29:23.522874,"(4.8, 9.6, 8.895)","(3.8, 6.2, 5.05)","(4.8, 8.0, 5.5)","(4.6, 6.8, 5.830769230769231)","(7.5, 14.0, 10.9)","(4.2, 5.9, 4.833333333333333)"
