,Hot Return,Lost Cause,Bow Down,Yarramundi Bee,Springvale Bray,Like A Tiger,Faster Than Slow,Sophia Palms
14-12-2022 12:56:15.950018,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:17.506261,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:18.959308,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:20.368383,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:21.806613,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:23.107208,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:24.591440,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:25.997439,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:27.475469,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:29.009691,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:30.578976,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:31.831155,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:33.049358,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:34.237724,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
14-12-2022 12:56:35.491816,"(21.0, 95.0, 57.5)","(10.0, 19.0, 17.775)","(15.0, 42.0, 30.75)","(3.0, 4.9, 3.982909090909091)","(3.2, 5.5, 3.5833333333333335)","(5.5, 99999, 99990)","(17.0, 60.0, 40.22727272727273)","(4.6, 7.2, 5.033333333333333)"
