,Lensman,I Am Richenuff,Harderthantherest,Exalted Dennis,Foxtrot Bravo,Garratt Road,Costaway,Blazing Zone,Jeddalet,Wicked Redoutes
05-01-2023 15:20:31.818373,"(4.4, 5.2, 5.242857142857143)","(6.0, 7.6, 7.225979381443299)","(3.9, 4.5, 4.442028985507247)","(10.0, 12.0, 11.871951219512194)","(13.0, 18.0, 17.065573770491802)","(5.0, 5.9, 5.887537091988131)","(21.0, 27.0, 26.68)","(21.0, 26.0, 25.952380952380953)","(31.0, 42.0, 41.09090909090909)","(26.0, 29.0, 28.682539682539684)"
05-01-2023 15:20:33.138510,"(4.4, 5.3, 5.242857142857143)","(6.0, 7.4, 7.225979381443299)","(3.9, 4.5, 4.463272727272727)","(10.0, 12.0, 11.871951219512194)","(13.0, 18.0, 18.227272727272727)","(5.0, 5.9, 5.882941176470588)","(21.0, 27.0, 26.82716049382716)","(21.0, 26.0, 25.951923076923077)","(31.0, 42.0, 41.1025641025641)","(26.0, 29.0, 28.682539682539684)"
05-01-2023 15:20:34.747410,"(4.4, 5.3, 5.223383084577114)","(6.0, 7.2, 7.199324324324325)","(3.9, 4.8, 4.437573385518592)","(10.0, 12.0, 15.3125)","(13.0, 18.5, 20.5)","(5.0, 5.9, 5.1125)","(21.0, 27.0, 30.0)","(21.0, 26.0, 29.8)","(31.0, 42.0, 40.666666666666664)","(26.0, 29.0, 30.0)"
05-01-2023 15:20:36.261372,"(4.4, 6.4, 5.122580645161291)","(6.0, 9.0, 5.584615384615384)","(3.9, 5.9, 5.765384615384615)","(10.0, 15.5, 14.872093023255815)","(13.0, 25.0, 22.0)","(5.0, 8.0, 4.628155339805825)","(21.0, 36.0, 33.45454545454545)","(21.0, 40.0, 24.8)","(31.0, 46.0, 37.5)","(26.0, 42.0, 32.0)"
05-01-2023 15:20:37.757148,"(4.4, 6.4, 6.180000000000001)","(6.0, 9.0, 5.492307692307692)","(3.9, 5.8, 8.37972166998012)","(10.0, 15.5, 14.9)","(13.0, 24.0, 20.5)","(5.0, 5.6, 4.628155339805825)","(21.0, 36.0, 31.818181818181817)","(21.0, 40.0, 29.5)","(31.0, 46.0, 37.5)","(26.0, 40.0, 32.0)"
05-01-2023 15:20:39.375276,"(4.4, 6.4, 5.476)","(6.0, 7.0, 5.338461538461539)","(3.9, 8.4, 8.004255319148935)","(10.0, 15.5, 14.9)","(13.0, 25.0, 20.8)","(5.0, 5.6, 4.624528301886793)","(21.0, 34.0, 31.818181818181817)","(21.0, 38.0, 26.666666666666668)","(31.0, 46.0, 37.5)","(26.0, 40.0, 32.0)"
05-01-2023 15:20:41.067468,"(4.4, 5.5, 5.472727272727273)","(6.0, 7.0, 5.327272727272727)","(3.9, 8.2, 7.99090909090909)","(10.0, 15.5, 14.9)","(13.0, 24.0, 20.8)","(5.0, 5.6, 4.641935483870967)","(21.0, 34.0, 31.818181818181817)","(21.0, 38.0, 19.166666666666668)","(31.0, 46.0, 35.8)","(26.0, 40.0, 29.333333333333332)"
05-01-2023 15:20:42.365164,"(4.4, 5.5, 5.472727272727273)","(6.0, 6.6, 5.327272727272727)","(3.9, 8.2, 7.99090909090909)","(10.0, 15.5, 14.9)","(13.0, 24.0, 22.75)","(5.0, 5.6, 5.26013986013986)","(21.0, 34.0, 31.818181818181817)","(21.0, 25.0, 20.833333333333332)","(31.0, 46.0, 35.8)","(26.0, 40.0, 29.333333333333332)"
05-01-2023 15:20:43.646291,"(4.4, 5.1, 4.2914062500000005)","(6.0, 5.2, 4.9)","(3.9, 8.2, 7.99090909090909)","(10.0, 15.5, 14.9)","(13.0, 24.0, 22.75)","(5.0, 5.6, 5.26013986013986)","(21.0, 34.0, 31.818181818181817)","(21.0, 25.0, 20.833333333333332)","(31.0, 46.0, 35.8)","(26.0, 40.0, 29.333333333333332)"
05-01-2023 15:20:44.981927,"(4.4, 5.1, 4.2914062500000005)","(6.0, 5.2, 5.1937500000000005)","(3.9, 8.2, 7.99090909090909)","(10.0, 15.5, 14.9)","(13.0, 24.0, 22.75)","(5.0, 5.6, 4.4125)","(21.0, 34.0, 31.818181818181817)","(21.0, 25.0, 20.5)","(31.0, 46.0, 35.8)","(26.0, 40.0, 29.333333333333332)"
