,Caveman,Paradiso Havana,Maniac Moo,Invictus Sharon,Fire Up Jazz,Lifes A Riot,Deeming Rate,Seriously Fly
09-01-2023 18:29:39.933942,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:41.446395,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:42.997018,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:44.432892,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:45.964291,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:47.739438,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:49.230798,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:50.665102,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:52.058040,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
09-01-2023 18:29:53.400025,"(41.0, 95.0, 74.0)","(18.0, 70.0, 45.90909090909091)","(31.0, 85.0, 57.0)","(1.65, 2.4, 1.736206896551724)","(10.0, 21.0, 15.4)","(2.4, 3.6, 2.896470588235294)","(31.0, 260.0, 146.0)","(26.0, 120.0, 60.625)"
