,Lady Adele,Middle Child,Miss Illuminate,Pants On Fire,Sockastar,Bella Tesoro,Cannoli,Harper Rae,Hear Me Out,Lady Shalaa,Thida,Two Gets You Five
10-01-2023 13:13:03.317454,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 60.0, 51.73913043478261)","(21.0, 40.0, 34.54545454545455)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3846153846153846)","(3.9, 4.8, 4.733246073298429)","(11.0, 34.0, 29.8)","(13.0, 16.0, 15.666666666666666)","(4.8, 6.2, 5.966666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:05.098389,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 51.73913043478261)","(21.0, 40.0, 34.54545454545455)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3846153846153846)","(3.9, 4.8, 4.742627345844504)","(11.0, 34.0, 29.8)","(13.0, 16.0, 15.3)","(4.8, 6.2, 5.966666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:06.717531,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 51.73913043478261)","(21.0, 40.0, 34.54545454545455)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3846153846153846)","(3.9, 4.8, 4.742627345844504)","(11.0, 34.0, 29.8)","(13.0, 16.0, 15.447368421052632)","(4.8, 6.2, 6.0)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:08.290278,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 51.73913043478261)","(21.0, 40.0, 34.54545454545455)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3846153846153846)","(3.9, 4.8, 4.742627345844504)","(11.0, 34.0, 29.8)","(13.0, 16.0, 15.447368421052632)","(4.8, 6.2, 6.0)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:09.859558,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 51.73913043478261)","(21.0, 40.0, 34.54545454545455)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3846153846153846)","(3.9, 4.8, 4.742627345844504)","(11.0, 34.0, 29.8)","(13.0, 16.0, 15.447368421052632)","(4.8, 6.2, 6.0)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:11.449458,"(101.0, 180.0, 165.0)","(14.0, 19.5, 19.344827586206897)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 51.73913043478261)","(21.0, 40.0, 30.571428571428573)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.742627345844504)","(11.0, 34.0, 31.666666666666668)","(13.0, 16.0, 15.447368421052632)","(4.8, 6.2, 6.08)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:13.005852,"(101.0, 210.0, 154.0)","(14.0, 19.5, 19.181818181818183)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 30.0)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.737243401759531)","(11.0, 34.0, 31.666666666666668)","(13.0, 16.0, 15.447368421052632)","(4.8, 6.2, 6.222222222222222)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:14.676274,"(101.0, 210.0, 154.0)","(14.0, 19.5, 19.181818181818183)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 30.0)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 31.666666666666668)","(13.0, 16.0, 15.3)","(4.8, 6.4, 6.426666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:16.544670,"(101.0, 210.0, 154.0)","(14.0, 19.5, 19.181818181818183)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 32.142857142857146)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.3)","(4.8, 6.8, 6.426666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:18.314512,"(101.0, 210.0, 154.0)","(14.0, 19.5, 19.181818181818183)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 33.529411764705884)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.3)","(4.8, 6.8, 6.426666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:20.350672,"(101.0, 210.0, 154.0)","(14.0, 19.5, 19.181818181818183)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 33.529411764705884)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.3875)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.3)","(4.8, 6.8, 6.426666666666667)","(101.0, 170.0, 165.0)"
10-01-2023 13:13:22.336613,"(101.0, 210.0, 154.0)","(14.0, 19.5, 17.2)","(8.0, 9.6, 9.485714285714286)","(31.0, 55.0, 52.22222222222222)","(21.0, 40.0, 32.142857142857146)","(101.0, 300.0, 240.0)","(2.7, 3.4, 3.391304347826087)","(3.9, 4.8, 4.615767634854771)","(11.0, 34.0, 30.5)","(13.0, 16.0, 15.543478260869565)","(4.8, 6.8, 6.666666666666667)","(101.0, 170.0, 165.0)"
