,Freddy Mac,Vested Interest,Shalily,Son Of Bielski,Red Stiletto,Langworthy,Five Ounce,Ruby Edition,Barossa Kiss,Keck,Sarwatte
10-01-2023 14:19:57.168856,"(3.9, 4.9, 4.871428571428572)","(3.3, 4.2, 3.99)","(4.4, 7.4, 7.04)","(10.0, 12.5, 12.42817679558011)","(12.0, 16.0, 15.8)","(14.0, 21.0, 18.545454545454547)","(6.0, 7.0, 6.943030303030303)","(51.0, 90.0, 78.57142857142857)","(61.0, 90.0, 74.0)","(31.0, 46.0, 42.0)","(101.0, 830.0, 722.0)"
10-01-2023 14:19:59.058467,"(3.9, 4.9, 4.871428571428572)","(3.3, 4.2, 3.99)","(4.4, 7.4, 7.133333333333334)","(10.0, 12.5, 12.42817679558011)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.75)","(6.0, 7.0, 6.938961038961039)","(51.0, 90.0, 78.33333333333333)","(61.0, 90.0, 73.84615384615384)","(31.0, 46.0, 42.57142857142857)","(101.0, 830.0, 722.0)"
10-01-2023 14:20:01.011044,"(3.9, 4.9, 4.871428571428572)","(3.3, 4.2, 3.99)","(4.4, 7.4, 7.133333333333334)","(10.0, 12.5, 12.42817679558011)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.75)","(6.0, 7.0, 6.938961038961039)","(51.0, 90.0, 78.33333333333333)","(61.0, 90.0, 73.84615384615384)","(31.0, 46.0, 42.57142857142857)","(101.0, 830.0, 722.0)"
10-01-2023 14:20:02.755474,"(3.9, 4.9, 4.880000000000001)","(3.3, 4.2, 4.002777777777777)","(4.4, 7.4, 6.779999999999999)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 19.5, 18.46153846153846)","(6.0, 7.0, 6.938961038961039)","(51.0, 90.0, 74.28571428571428)","(61.0, 90.0, 73.46153846153845)","(31.0, 46.0, 42.0)","(101.0, 830.0, 643.3333333333333)"
10-01-2023 14:20:04.591517,"(3.9, 4.9, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 6.8, 6.779999999999999)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.352941176470587)","(6.0, 7.0, 7.054545454545455)","(51.0, 80.0, 73.33333333333333)","(61.0, 85.0, 70.71428571428572)","(31.0, 46.0, 42.0)","(101.0, 820.0, 473.33333333333337)"
10-01-2023 14:20:06.350160,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 6.8, 6.779999999999999)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.352941176470587)","(6.0, 7.2, 7.056470588235294)","(51.0, 80.0, 71.66666666666667)","(61.0, 85.0, 70.71428571428572)","(31.0, 46.0, 42.0)","(101.0, 820.0, 643.3333333333333)"
10-01-2023 14:20:08.159021,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 4.002777777777777)","(4.4, 6.8, 6.859999999999999)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.352941176470587)","(6.0, 7.2, 6.719047619047619)","(51.0, 80.0, 67.5)","(61.0, 85.0, 65.0)","(31.0, 46.0, 42.0)","(101.0, 820.0, 643.3333333333333)"
10-01-2023 14:20:09.955270,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.4, 6.914285714285715)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.352941176470587)","(6.0, 6.8, 6.699999999999999)","(51.0, 80.0, 70.0)","(61.0, 85.0, 65.0)","(31.0, 46.0, 42.0)","(101.0, 820.0, 643.3333333333333)"
10-01-2023 14:20:11.663107,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.2, 6.8533333333333335)","(10.0, 12.5, 12.423076923076923)","(12.0, 16.0, 15.8)","(14.0, 20.0, 18.352941176470587)","(6.0, 6.8, 6.72463768115942)","(51.0, 80.0, 70.0)","(61.0, 85.0, 67.5)","(31.0, 46.0, 42.0)","(101.0, 820.0, 743.0769230769231)"
10-01-2023 14:20:13.447488,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.9833333333333334)","(4.4, 7.2, 6.8533333333333335)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 20.0, 20.2)","(6.0, 6.8, 6.72463768115942)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 43.23076923076923)","(101.0, 820.0, 743.0769230769231)"
10-01-2023 14:20:15.143688,"(3.9, 5.0, 4.957142857142857)","(3.3, 4.1, 3.955263157894737)","(4.4, 7.2, 6.8533333333333335)","(10.0, 12.5, 12.3659793814433)","(12.0, 16.0, 15.8)","(14.0, 22.0, 20.181818181818183)","(6.0, 6.8, 6.72463768115942)","(51.0, 80.0, 70.0)","(61.0, 90.0, 67.5)","(31.0, 46.0, 43.23076923076923)","(101.0, 820.0, 743.0769230769231)"
