,Impress Scarlett,Impress Patch,Vans Turbo,Inga Lenny,Chanko Girl,Inga Bluey,King Of All,Funky Felix
09-01-2023 16:03:51.164357,"(7.5, 12.5, 8.225)","(4.4, 8.8, 7.528260869565218)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:52.456821,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.686842105263157)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:53.716642,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.686842105263157)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:54.996876,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.686842105263157)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:56.249956,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.686842105263157)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:57.466675,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:58.663428,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:03:59.823397,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:00.929478,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
09-01-2023 16:04:02.087997,"(7.5, 12.5, 8.225)","(4.4, 8.2, 7.439024390243902)","(4.8, 8.2, 5.886956521739131)","(8.5, 19.0, 18.0)","(20.0, 70.0, 46.36363636363637)","(9.0, 16.0, 14.733333333333334)","(7.5, 14.0, 13.0)","(3.0, 4.9, 3.3062500000000004)"
