,Golden Oak,Pear Lemonade,Big Falcon Rocket,Trevilion,Saint Scotty,Joyride,Get Hammered,Rys Revenge
15-12-2022 12:47:27.712652,"(13.0, 30.0, 14.444444444444445)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:29.287572,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:30.945026,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:32.582431,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:34.189848,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:35.724415,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:37.285199,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 19.8)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 14.2)"
15-12-2022 12:47:38.771273,"(13.0, 30.0, 14.705882352941178)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 22.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 25.0, 17.75)"
15-12-2022 12:47:40.362967,"(13.0, 30.0, 22.0)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.125)"
15-12-2022 12:47:41.893055,"(13.0, 28.0, 22.0)","(31.0, 510.0, 447.625)","(3.3, 4.9, 4.7250000000000005)","(21.0, 230.0, 69.875)","(10.0, 23.0, 17.857142857142858)","(4.6, 13.5, 11.733333333333333)","(2.4, 2.44, 2.29)","(16.0, 32.0, 27.125)"
