,Dr Zeppelin,Old Stables,Vitality Blast,Dr Valor,Ozzies Risk,Sapphire Speed,Akina Lad,Mileena
11-01-2023 17:54:56.463624,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(19.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 80.0, 71.14285714285714)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:54:57.993387,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(19.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 80.0, 71.14285714285714)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:54:59.581642,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(19.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 80.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:00.995130,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:02.465181,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:03.889030,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:05.258692,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:06.681314,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:07.977822,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
11-01-2023 17:55:09.647971,"(17.0, 50.0, 36.6)","(1.3, 1.74, 1.5304761904761905)","(5.0, 9.0, 7.666666666666666)","(20.0, 55.0, 32.1875)","(10.0, 46.0, 38.68)","(26.0, 100.0, 62.72727272727273)","(9.0, 19.5, 13.666666666666668)","(71.0, 580.0, 317.5)"
