,Hes A Battler,Papa Surf,Walkinthepark,The Witch,Explosive Lass,Pegau,Zivjeli,Rushann,Boasting,Lucikhan,Keve
12-01-2023 11:06:44.918000,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 68.33333333333333)"
12-01-2023 11:06:46.634976,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:48.332868,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:50.027736,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:51.698579,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:53.432902,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:55.078532,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:56.677301,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:58.251978,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:06:59.862110,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 159.41176470588235)"
12-01-2023 11:07:01.660136,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:03.389871,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
12-01-2023 11:07:05.353599,"(9.0, 16.5, 11.9)","(5.5, 9.4, 7.24)","(5.0, 8.8, 7.742857142857143)","(5.0, 9.0, 7.942857142857143)","(5.5, 13.5, 10.74)","(10.0, 22.0, 10.8)","(41.0, 190.0, 65.2)","(18.0, 75.0, 48.63636363636363)","(5.0, 7.2, 6.776923076923077)","(21.0, 32.0, 29.818181818181817)","(41.0, 210.0, 138.33333333333334)"
