,Coco Cuber,Fudging,Nebaraz,Vaporizing,Inner Spirit,Perfect Quality,Smarty Lee,Strathcona,Ten Schilling,Lightheadedness,Serenata
07-01-2023 15:23:53.166710,"(20.0, 42.0, 35.6)","(9.0, 11.5, 10.981818181818182)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.166666666666666)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:23:54.602983,"(20.0, 42.0, 35.6)","(9.0, 11.5, 10.981818181818182)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.166666666666666)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:23:56.103064,"(20.0, 42.0, 35.6)","(9.0, 11.5, 10.981818181818182)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.166666666666666)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:23:57.621077,"(20.0, 42.0, 35.6)","(9.0, 11.5, 11.215)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 8.875)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:23:59.175360,"(20.0, 42.0, 35.6)","(9.0, 11.5, 11.2625)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.473684210526315)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:24:01.002205,"(20.0, 42.0, 35.6)","(9.0, 11.5, 11.2625)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.473684210526315)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:24:02.632331,"(20.0, 42.0, 35.6)","(9.0, 11.5, 11.2625)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.525)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.473684210526315)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:24:04.143066,"(20.0, 42.0, 35.6)","(9.0, 11.5, 11.2625)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.466666666666667)","(4.0, 5.9, 5.4625)","(26.0, 34.0, 32.36363636363637)","(6.0, 10.0, 9.48235294117647)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 145.55555555555554)"
07-01-2023 15:24:05.821021,"(20.0, 42.0, 35.6)","(9.0, 12.0, 10.777777777777779)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.4, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:07.287827,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:08.791447,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:10.174597,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:11.555673,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:12.955412,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:14.490649,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.753846153846153)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.32)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:16.127140,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.214285714285715)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 9.600000000000001)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:17.531959,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.56)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:18.941410,"(20.0, 42.0, 35.6)","(9.0, 12.0, 10.75)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:20.452479,"(20.0, 42.0, 35.6)","(9.0, 12.0, 10.75)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:21.832517,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.5)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 100.0)"
07-01-2023 15:24:23.253353,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.5)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:24.741322,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.75)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:26.136868,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:27.405014,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.833333333333334)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:28.809641,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.4749999999999996)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:30.275557,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:31.683908,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:33.068296,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:34.445957,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:35.786037,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 117.5)"
07-01-2023 15:24:37.044603,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 170.0, 112.5)"
07-01-2023 15:24:38.327842,"(20.0, 42.0, 35.6)","(9.0, 12.0, 11.7)","(8.5, 14.5, 12.625)","(3.5, 3.55, 3.470212765957447)","(6.0, 9.0, 8.893333333333333)","(4.0, 6.2, 5.666666666666667)","(26.0, 34.0, 32.36363636363637)","(6.0, 9.8, 8.6)","(26.0, 38.0, 29.428571428571427)","(14.0, 18.5, 16.785714285714285)","(41.0, 160.0, 112.5)"
