,Get Carter,Divas Boy,Deemed A Liar,Shanti,Top Shelf Toby,Side Tracked
10-01-2023 16:24:14.230411,"(4.4, 8.2, 6.352)","(21.0, 70.0, 46.23529411764706)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 683.0)"
10-01-2023 16:24:15.365033,"(4.4, 8.2, 6.352)","(21.0, 70.0, 46.23529411764706)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 683.0)"
10-01-2023 16:24:16.689324,"(4.4, 8.2, 6.352)","(21.0, 70.0, 46.23529411764706)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 683.0)"
10-01-2023 16:24:18.099580,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:19.296496,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:20.511073,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:21.794109,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:22.972964,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:24.285068,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:25.518448,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:26.781933,"(4.4, 8.2, 6.352)","(21.0, 70.0, 34.36363636363636)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:27.939644,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:29.140452,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:30.366400,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:31.599031,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:32.814310,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:34.084423,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:35.237820,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:36.503457,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:37.836140,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:39.106836,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:40.236179,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:41.399652,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:42.710041,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:43.924635,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:45.417290,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
10-01-2023 16:24:46.584658,"(4.4, 8.2, 6.352)","(21.0, 70.0, 33.27272727272727)","(1.5, 1.64, 1.4983333333333333)","(3.6, 6.0, 4.842105263157895)","(31.0, 180.0, 163.55555555555554)","(101.0, 830.0, 708.3333333333334)"
