,Berdibek,Bonny Ezra,Aleas,Chalk Stream,First In Line,Shes The Gift,Military Mission,Criminal Code,Global Ausbred,Mission Phoenix,Lady Redwood
07-01-2023 14:48:37.590380,"(12.0, 18.0, 17.96766169154229)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.0, 5.875555555555556)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.6)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.6, 6.587341772151898)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:38.916428,"(12.0, 18.0, 17.96766169154229)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.0, 5.875555555555556)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.5)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.6, 6.635616438356164)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:40.441889,"(12.0, 18.0, 17.96766169154229)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.0, 5.875555555555556)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.451612903225806)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:41.781221,"(12.0, 18.0, 17.96766169154229)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.0, 5.875555555555556)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.410810810810811)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:43.155092,"(12.0, 18.0, 17.96766169154229)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.0, 5.875555555555556)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.515415019762846)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:44.481968,"(12.0, 18.0, 17.979591836734695)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.863551401869159)","(10.0, 14.0, 13.75)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.419047619047619)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:45.771967,"(12.0, 18.0, 17.979591836734695)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.963157894736843)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.447058823529412)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:47.122637,"(12.0, 18.5, 18.472826086956523)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.953731343283582)","(10.0, 14.0, 13.4375)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.583333333333334)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.619095477386934)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:48.459884,"(12.0, 18.5, 18.472826086956523)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.953731343283582)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 9.8, 9.7)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.408695652173914)","(6.5, 7.6, 7.467889908256881)","(81.0, 220.0, 210.90909090909093)"
07-01-2023 14:48:49.810045,"(12.0, 18.5, 18.472826086956523)","(7.5, 9.0, 8.847761194029852)","(4.8, 6.2, 5.964285714285714)","(10.0, 14.0, 13.804347826086957)","(61.0, 95.0, 93.33333333333333)","(7.5, 10.0, 9.711538461538462)","(6.5, 7.6, 7.475862068965517)","(26.0, 40.0, 39.64285714285714)","(5.5, 6.8, 6.408695652173914)","(6.5, 7.6, 7.417721518987342)","(81.0, 220.0, 210.90909090909093)"
