,Feel The Reign,Wilshire Boulevard,Overpowering,Cemetery Bay,Thomas Heights,Ultimate Force,Dennis,Sahara Tiger,Van Mara Nz
0,"[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 28, 187875), 4.6, 99999]"
1,"[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 29, 463465), 4.6, 99999]"
2,"[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 30, 681683), 4.6, 99999]"
3,"[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 31, 945391), 4.6, 99999]"
4,"[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 33, 212991), 4.6, 99999]"
5,"[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 34, 475043), 4.6, 99999]"
6,"[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 35, 691443), 4.6, 99999]"
7,"[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 36, 948940), 4.6, 99999]"
8,"[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 38, 192589), 4.6, 99999]"
9,"[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 12.0, 22.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 5.5, 8.6]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 21.0, 38.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 20.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 19.0, 30.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 1.6, 2.18]","[datetime.datetime(2022, 11, 28, 19, 3, 39, 499255), 4.6, 99999]"
