,Masie Jane,Zipping Cutie,Flyaway Becky,Lenny Boy,Chip Rock,Tralee Beth,Jasper Kimetto,Light Duties
05-01-2023 14:08:44.572666,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:45.989155,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:47.311360,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:48.506154,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:49.967856,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:51.325872,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:52.692418,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:54.051153,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:55.315410,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:56.529984,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:57.686956,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
05-01-2023 14:08:58.912211,"(2.5, 4.6, 2.85)","(41.0, 340.0, 144.57142857142858)","(10.0, 22.0, 14.0)","(21.0, 85.0, 53.5)","(6.0, 11.0, 8.257142857142856)","(3.0, 5.1, 3.174074074074074)","(5.0, 8.4, 7.92)","(13.0, 34.0, 16.5)"
