,Kanji Length,Smiling Sapphire,Wild Harmony,Dolly Jay,Twisted Bliss,Senna Forever,Lektra Rodney,Orson Delight
09-01-2023 11:21:48.098071,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:49.273429,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:50.448172,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:51.528984,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:52.692888,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:53.830606,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:54.942355,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:56.073607,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:57.125322,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
09-01-2023 11:21:58.179041,"(3.4, 6.8, 4.947058823529412)","(7.0, 16.0, 7.949999999999999)","(11.0, 25.0, 19.57142857142857)","(71.0, 580.0, 505.0)","(15.0, 44.0, 33.107142857142854)","(2.45, 4.0, 3.4139534883720932)","(6.5, 13.0, 6.955555555555556)","(6.5, 12.5, 6.5600000000000005)"
