,Go Gigi Go,Obsession Agogo,Runnin Riot,Joey Mac,Wild Aces Agogo,Rebel May Road,Worry Less,My Names Nipper
04-01-2023 13:48:48.363619,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:49.574749,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:50.812675,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:51.995948,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:53.174410,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:54.362467,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:55.456306,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:56.565191,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:57.710552,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
04-01-2023 13:48:58.820194,"(3.2, 4.8, 3.2984375)","(17.0, 40.0, 27.954545454545453)","(7.5, 15.5, 11.190909090909091)","(7.5, 20.0, 14.916666666666666)","(21.0, 55.0, 34.16666666666667)","(5.5, 11.5, 9.74)","(4.2, 6.0, 4.535714285714286)","(4.4, 7.8, 5.466666666666667)"
