,Katdeel,Mataman,Lady Valentine,Satellite Spirit,Deal An Ace,Star Prince,Perfect Impact,Anatini,Modele,Queen Luwell,Zuri Zuri,Chance At Midnight,Sea Kissed,Destination Sydney
08-01-2023 15:03:06.567872,"(3.3, 3.9, 3.7857142857142856)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.654545454545454)","(8.0, 9.6, 8.436363636363636)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:07.986136,"(3.3, 3.9, 3.7857142857142856)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.654545454545454)","(8.0, 9.6, 8.436363636363636)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:09.334543,"(3.3, 3.9, 3.7857142857142856)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.654545454545454)","(8.0, 9.6, 7.644444444444445)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:10.659661,"(3.3, 3.9, 3.7857142857142856)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.654545454545454)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:12.046252,"(3.3, 3.9, 3.7857142857142856)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.654545454545454)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:13.424917,"(3.3, 3.9, 3.8857142857142857)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:14.840630,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:16.228801,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.0)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:17.628232,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
08-01-2023 15:03:18.987992,"(3.3, 3.9, 3.873913043478261)","(101.0, 200.0, 165.0)","(2.3, 3.5, 3.442857142857143)","(6.0, 7.8, 7.622222222222222)","(8.0, 9.6, 8.64)","(31.0, 32.0, 28.0)","(101.0, 210.0, 160.0)","(8.0, 15.5, 14.338709677419356)","(51.0, 170.0, 148.0)","(101.0, 200.0, 155.0)","(21.0, 40.0, 37.84615384615385)","(101.0, 200.0, 140.0)","(101.0, 210.0, 160.0)","(101.0, 200.0, 140.0)"
