,Hannahs Song,Warica,Geegee Jet By,Ziavera,Outbound,Artuso,Fairy Magic,Nevs Boy,Gee Gee Goldenlass,Wheeling
07-12-2022 18:20:52.789684,"(12.0, 14.5, 14.207792207792208)","(11.0, 14.5, 14.2987012987013)","(7.5, 9.4, 9.373684210526315)","(41.0, 55.0, 53.309178743961354)","(9.0, 11.0, 10.812643678160919)","(14.0, 16.5, 16.5609756097561)","(1.9, 2.1, 2.086666666666667)","(21.0, 30.0, 29.56756756756757)","(19.0, 27.0, 26.416666666666668)","(21.0, 32.0, 31.22222222222222)"
07-12-2022 18:20:54.173540,"(12.0, 14.5, 14.212765957446809)","(11.0, 14.5, 14.30967741935484)","(7.5, 9.4, 9.353097345132744)","(41.0, 55.0, 53.31730769230769)","(9.0, 11.0, 10.809050772626932)","(14.0, 17.0, 16.576470588235296)","(1.9, 2.1, 2.086666666666667)","(21.0, 30.0, 29.56756756756757)","(19.0, 27.0, 26.416666666666668)","(21.0, 32.0, 31.22222222222222)"
07-12-2022 18:20:55.888358,"(12.0, 14.5, 14.212765957446809)","(11.0, 14.5, 14.324324324324325)","(7.5, 9.4, 9.353303964757709)","(41.0, 55.0, 53.333333333333336)","(9.0, 11.0, 10.809050772626932)","(14.0, 17.0, 16.576470588235296)","(1.9, 2.1, 2.0957743362831858)","(21.0, 30.0, 29.56756756756757)","(19.0, 27.0, 26.416666666666668)","(21.0, 32.0, 31.22222222222222)"
07-12-2022 18:20:57.588457,"(12.0, 14.5, 14.218340611353712)","(11.0, 14.5, 14.324324324324325)","(7.5, 9.4, 9.374747474747474)","(41.0, 55.0, 53.333333333333336)","(9.0, 11.0, 10.809050772626932)","(14.0, 17.0, 16.588571428571427)","(1.9, 2.1, 2.117902097902098)","(21.0, 30.0, 29.6)","(19.0, 27.0, 26.365384615384617)","(21.0, 32.0, 31.161290322580644)"
07-12-2022 18:20:59.219513,"(12.0, 14.5, 14.219917012448132)","(11.0, 14.5, 14.342281879194632)","(7.5, 9.4, 9.354042553191489)","(41.0, 55.0, 53.286384976525824)","(9.0, 11.0, 10.805496828752643)","(14.0, 17.0, 15.298507462686567)","(1.9, 2.12, 2.1263589743589746)","(21.0, 30.0, 30.64406779661017)","(19.0, 27.0, 25.846153846153847)","(21.0, 32.0, 31.09090909090909)"
07-12-2022 18:21:00.643975,"(12.0, 14.5, 14.209677419354838)","(11.0, 14.5, 14.342281879194632)","(7.5, 9.4, 9.354042553191489)","(41.0, 55.0, 53.286384976525824)","(9.0, 11.0, 10.805496828752643)","(14.0, 15.5, 15.266666666666667)","(1.9, 2.14, 2.118804780876494)","(21.0, 32.0, 29.6)","(19.0, 26.0, 26.333333333333332)","(21.0, 32.0, 31.161290322580644)"
07-12-2022 18:21:02.025487,"(12.0, 14.5, 14.183098591549296)","(11.0, 14.5, 14.34)","(7.5, 9.4, 9.35973154362416)","(41.0, 55.0, 52.745098039215684)","(9.0, 11.0, 10.858560794044665)","(14.0, 15.5, 15.60989010989011)","(1.9, 2.14, 2.1130632911392406)","(21.0, 30.0, 29.6)","(19.0, 27.0, 26.32)","(21.0, 32.0, 31.161290322580644)"
07-12-2022 18:21:03.647455,"(12.0, 14.5, 14.183098591549296)","(11.0, 14.5, 14.34)","(7.5, 9.4, 9.35973154362416)","(41.0, 55.0, 54.34782608695652)","(9.0, 11.0, 10.80811403508772)","(14.0, 16.0, 15.60989010989011)","(1.9, 2.14, 2.113007334963325)","(21.0, 30.0, 29.28)","(19.0, 27.0, 26.26923076923077)","(21.0, 32.0, 31.161290322580644)"
07-12-2022 18:21:05.050527,"(12.0, 14.5, 14.17687074829932)","(11.0, 14.5, 14.31875)","(7.5, 9.4, 9.354545454545455)","(41.0, 55.0, 54.34782608695652)","(9.0, 11.0, 10.80811403508772)","(14.0, 16.0, 15.60989010989011)","(1.9, 2.14, 2.112696897374702)","(21.0, 30.0, 29.28)","(19.0, 27.0, 26.26923076923077)","(21.0, 32.0, 29.8)"
07-12-2022 18:21:06.526540,"(12.0, 14.5, 14.180555555555555)","(11.0, 14.5, 14.320987654320987)","(7.5, 9.4, 9.354545454545455)","(41.0, 55.0, 54.34782608695652)","(9.0, 11.0, 10.80811403508772)","(13.0, 16.0, 14.80327868852459)","(1.9, 2.14, 2.125219638242894)","(21.0, 30.0, 29.185185185185183)","(19.0, 27.0, 26.30275229357798)","(21.0, 30.0, 29.751351351351353)"
