,Nixon Bale,Zhenye Bale,Zipping Pip,Love A Collision,Mt View Bee,Under His Spell,Black Power
12-01-2023 15:48:20.107184,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:21.079451,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:22.129918,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:23.219564,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:24.328566,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:25.458761,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:26.600227,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:27.673682,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:28.639217,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
12-01-2023 15:48:29.718081,"(3.8, 6.8, 4.452173913043478)","(2.9, 4.6, 3.142857142857143)","(5.5, 10.0, 5.691666666666666)","(16.0, 50.0, 34.54545454545455)","(15.0, 32.0, 30.0)","(6.0, 12.5, 12.257831325301204)","(4.2, 8.0, 5.357142857142857)"
