,Chipping Campden,Darra Linen,Little Ms Dreamer,Queen Of Tayrona,Schiller Effect,Empress Of Sydney,Misty Gold,Savvy Bee,Shikishi,Ask,Epsom Magic
07-01-2023 12:07:16.074495,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:17.606330,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:19.104863,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:20.581905,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:22.079483,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:23.691907,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:25.494220,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:27.129131,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:28.880986,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:30.609434,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:32.215569,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:33.815176,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:35.399488,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.4)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:37.040195,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 10.466666666666667)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:38.584979,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 11.0, 9.708333333333332)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:40.163361,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.708333333333332)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:41.683318,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:43.201340,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:44.753796,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:46.217802,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:47.666949,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:49.148262,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:50.636563,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:52.201678,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:53.726461,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:55.207621,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
07-01-2023 12:07:56.648224,"(26.0, 220.0, 176.5)","(19.0, 32.0, 31.4375)","(51.0, 210.0, 147.5)","(41.0, 220.0, 105.71428571428572)","(2.25, 2.4, 2.393793103448276)","(13.0, 24.0, 22.157894736842106)","(5.5, 10.5, 8.966666666666667)","(3.7, 4.1, 3.9506726457399104)","(7.0, 10.5, 9.083333333333334)","(26.0, 75.0, 71.30000000000001)","(101.0, 230.0, 205.0)"
