,Betterthankkylie,Flirts Diva,Our Aunty Ash,Rippin Good Feelin,Brie,Gemmas Express,Mac Stubborn,Blissfull Donna,Faiselle
10-01-2023 17:17:12.850892,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:14.063184,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:15.276741,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:16.471693,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:17.681388,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:18.900333,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:20.181355,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:21.457399,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:22.679783,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
10-01-2023 17:17:23.926733,"(9.0, 25.0, 16.9)","(17.0, 55.0, 42.0)","(1.4, 1.9, 1.4975)","(71.0, 220.0, 178.57142857142858)","(101.0, 220.0, 170.85714285714286)","(21.0, 80.0, 36.66666666666667)","(8.0, 17.0, 10.6)","(4.8, 12.5, 10.1)","(81.0, 220.0, 178.57142857142858)"
