,Zipping Yvette,Icarus Bale,Jimmy Bale,Jazz Party,Red Fire Bay,My Name,Lightning Rocket,Tenement Hall
0,"[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 11, 243475), 3.1, 4.9]"
1,"[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 12, 461069), 3.1, 4.9]"
2,"[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 13, 639498), 3.1, 4.9]"
3,"[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 14, 853837), 3.1, 4.9]"
4,"[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 16, 15054), 3.1, 4.9]"
5,"[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 17, 181157), 3.1, 4.9]"
6,"[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 18, 317121), 3.1, 4.9]"
7,"[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 19, 470995), 3.1, 4.9]"
8,"[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 20, 601099), 3.1, 4.9]"
9,"[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 5.0, 7.8]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 3.8, 6.4]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 4.2, 7.4]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 41.0, 280.0]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 26.0, 100.0]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 10.0, 19.5]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 8.0, 14.5]","[datetime.datetime(2022, 11, 28, 18, 55, 21, 767843), 3.1, 4.9]"
