,Bakersfield,Chihuly,Dictionary,Downtown Man,Lallegro,Lonergy,Nakedness,The Rooster,Hibernia Queen
08-01-2023 12:44:07.669322,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.8, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:08.955886,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:10.266513,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:11.488582,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:12.707027,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:13.934310,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:15.181820,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.6571428571428575)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:16.440045,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.76)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:17.711665,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.9)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:18.895112,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:20.095858,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.624528301886792)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:21.235794,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:22.332421,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:23.583480,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:24.724332,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:25.918744,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:27.124125,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:28.310764,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:29.512033,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:30.712678,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:31.991345,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:33.203887,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:34.391287,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:35.577653,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:36.747099,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
08-01-2023 12:44:37.850009,"(7.5, 9.8, 9.623076923076923)","(3.9, 4.8, 4.671724137931034)","(5.5, 7.6, 7.28)","(101.0, 200.0, 150.0)","(21.0, 50.0, 44.5)","(10.0, 15.5, 14.642857142857142)","(3.9, 5.2, 4.981818181818182)","(5.0, 6.0, 5.75)","(9.0, 12.0, 11.25)"
