,Precious Boy,Debs Baby,Spot Of Rum,Magnum Key Eye,Mac Fly,Mexican Mavis,Twin Turbo
09-01-2023 18:05:34.299270,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:35.368431,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:36.530430,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:37.612334,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:38.562652,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:39.599438,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:40.623411,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:41.630848,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:42.681732,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
09-01-2023 18:05:43.777561,"(3.6, 5.5, 3.88125)","(41.0, 310.0, 174.0)","(61.0, 570.0, 149.16666666666669)","(10.0, 24.0, 19.625)","(2.4, 4.0, 2.7225)","(26.0, 190.0, 108.5)","(2.35, 3.3, 2.4552)"
