,Chromozone Nz,Cmonbabylitemyfire,Lollipop,Ingermarla,Alcatraz Girl,Princess Chilla,Mahindi Nz,Superior Delight,Eastbro Erin,Lady Of The Arts
12-01-2023 18:19:10.833996,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:12.152692,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:13.356756,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:14.644432,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:15.939327,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:17.263180,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:18.647026,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:20.000671,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:21.251509,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:22.460085,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:23.852765,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:25.187839,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:26.644509,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:28.053310,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(14.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
12-01-2023 18:19:29.613068,"(101.0, 99999, 99990)","(3.0, 3.45, 3.1166666666666667)","(11.0, 19.0, 14.4)","(21.0, 40.0, 29.0)","(31.0, 85.0, 51.0)","(21.0, 46.0, 33.5)","(15.0, 99999, 99990)","(2.3, 3.45, 3.4265625)","(19.0, 36.0, 22.666666666666668)","(5.0, 8.0, 6.628571428571428)"
