,My Best Buddy,No Plans,Alaska Black,Woodside Bella,Banana Girl,Fancy Nancy
04-01-2023 11:02:58.401248,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:02:59.329359,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:00.199640,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:01.154587,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:02.071795,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:02.960550,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:03.867514,"(1.55, 2.26, 2.1468115942028985)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:04.770413,"(1.55, 2.32, 1.871294964028777)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:05.677543,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:06.623628,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:07.561895,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:08.484872,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:09.370917,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:10.291840,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:11.132004,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:12.002647,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:12.910608,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:13.819680,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:14.752470,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:15.667425,"(1.55, 2.26, 2.138285714285714)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:16.639319,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
04-01-2023 11:03:17.538818,"(1.55, 2.26, 2.0521951219512196)","(10.0, 24.0, 19.88888888888889)","(3.7, 6.2, 5.1)","(9.0, 24.0, 19.833333333333336)","(8.5, 16.0, 12.655555555555555)","(31.0, 110.0, 56.25)"
