,Cutting Roses,Pandoras Art,Knight Eagle,Babysgotblueeyes,Alta Ego,Capitol Dawn,Showpony,Batavia Bob,Dream Walker,Ee Jay Why
10,"[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 50, 162956), 26.0, 70.0]"
11,"[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 5.0, 8.2]","[datetime.datetime(2022, 11, 28, 15, 48, 51, 418371), 26.0, 70.0]"
12,"[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 52, 662900), 26.0, 65.0]"
13,"[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 53, 904048), 26.0, 65.0]"
14,"[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 55, 141287), 26.0, 65.0]"
15,"[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 56, 380271), 26.0, 65.0]"
16,"[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 57, 613551), 26.0, 65.0]"
17,"[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 48, 58, 846303), 26.0, 65.0]"
18,"[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 0, 70800), 26.0, 65.0]"
19,"[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 3.6, 5.7]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 101.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 10.0, 17.5]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 31.0, 70.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 21.0, 55.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 1.85, 2.8]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 41.0, 100.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 5.0, 8.0]","[datetime.datetime(2022, 11, 28, 15, 49, 1, 324909), 26.0, 65.0]"
