,So Noble,Dovis Day,Eye Pee Oh Ready,Peggie Boom,Wicked Chance,Mishani Jewel,Bit Of Fun,Marshy,Mishani Platinum,Torque Is Savvy
06-01-2023 14:00:01.588951,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.4)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.657142857142857)","(15.0, 30.0, 29.5)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 77.2)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:03.263277,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.4)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 29.5)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 74.75)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:04.833139,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.4)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 29.5)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 72.0)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:06.371292,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.4)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 29.5)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 72.0)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:07.914769,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.40909090909091)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 29.57142857142857)","(101.0, 630.0, 522.5)","(101.0, 550.0, 462.5)","(26.0, 85.0, 72.0)","(101.0, 630.0, 522.5)"
06-01-2023 14:00:09.494183,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 16.5, 16.863636363636363)","(1.65, 1.76, 1.7486792452830189)","(6.5, 10.0, 9.76923076923077)","(15.0, 30.0, 29.57142857142857)","(101.0, 630.0, 452.0)","(101.0, 550.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 630.0, 452.0)"
06-01-2023 14:00:11.079485,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.7466071428571428)","(6.5, 10.0, 9.52)","(15.0, 30.0, 29.57142857142857)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:12.621640,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 29.57142857142857)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:14.144057,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 29.57142857142857)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
06-01-2023 14:00:15.647453,"(4.8, 6.0, 5.791666666666667)","(19.0, 38.0, 36.0)","(7.5, 17.0, 16.863636363636363)","(1.65, 1.76, 1.745344827586207)","(6.5, 10.0, 9.52)","(15.0, 30.0, 29.57142857142857)","(101.0, 620.0, 452.0)","(101.0, 540.0, 404.0)","(26.0, 85.0, 72.0)","(101.0, 620.0, 452.0)"
