,Maritima,Moonlight Grace,Marelle,Marigolds Dream,Vincetta,Double Scoop,Zizette,Lalaguna,Memphis Sky,Queen Astrid,Ballon Bleu,Kingston Charm
11-01-2023 13:39:48.934111,"(4.8, 6.8, 6.571428571428571)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.6, 9.385714285714286)","(31.0, 48.0, 40.0)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 180.0, 176.0)","(18.0, 27.0, 23.857142857142858)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:50.980668,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.6, 9.333333333333334)","(31.0, 48.0, 40.0)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 176.0)","(18.0, 27.0, 23.857142857142858)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:52.892141,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.6, 9.333333333333334)","(31.0, 48.0, 40.0)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 176.0)","(18.0, 27.0, 23.857142857142858)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:54.470307,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.6, 9.333333333333334)","(31.0, 48.0, 40.0)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 176.0)","(18.0, 27.0, 23.857142857142858)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:56.067507,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.8, 9.657142857142858)","(31.0, 48.0, 40.285714285714285)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 185.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:57.622935,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.8, 9.707692307692309)","(31.0, 46.0, 39.6)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 185.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:39:59.110682,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.8, 9.707692307692309)","(31.0, 46.0, 39.6)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 185.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:40:00.582044,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.8, 9.707692307692309)","(31.0, 46.0, 39.6)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 185.0)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.0)"
11-01-2023 13:40:02.142088,"(4.8, 6.8, 6.5)","(4.2, 5.3, 5.222222222222222)","(7.0, 9.8, 9.707692307692309)","(31.0, 46.0, 39.6)","(21.0, 60.0, 54.4)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.771428571428571)","(101.0, 230.0, 171.66666666666669)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 22.0)"
11-01-2023 13:40:03.762573,"(4.8, 6.8, 6.5)","(4.2, 5.4, 5.364615384615385)","(7.0, 9.8, 9.715492957746479)","(31.0, 46.0, 40.666666666666664)","(21.0, 60.0, 55.333333333333336)","(13.0, 17.5, 15.25)","(18.0, 24.0, 22.333333333333332)","(6.0, 7.2, 6.8)","(101.0, 210.0, 171.66666666666669)","(18.0, 27.0, 23.4)","(6.0, 7.0, 6.666666666666666)","(17.0, 25.0, 23.5)"
