,Kickstarter,The Filter,Distortedatthebar,Out For Justice,Artie My Boy,Summer Retreat,Too Legit,Oneprettything
15-12-2022 10:48:56.112398,"(6.5, 8.0, 7.533333333333333)","(3.4, 4.4, 4.37)","(10.0, 21.0, 18.75)","(21.0, 65.0, 42.5)","(3.0, 3.6, 3.55)","(15.0, 28.0, 22.0)","(4.6, 6.2, 5.9)","(21.0, 75.0, 50.0)"
15-12-2022 10:48:57.223785,"(6.5, 8.0, 7.066666666666666)","(3.4, 4.4, 4.37)","(10.0, 21.0, 18.5)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.55)","(15.0, 27.0, 22.0)","(4.6, 6.2, 5.9)","(21.0, 70.0, 50.0)"
15-12-2022 10:48:58.290758,"(6.5, 8.0, 7.066666666666666)","(3.4, 4.4, 4.37)","(10.0, 22.0, 19.0)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.55)","(15.0, 27.0, 22.0)","(4.6, 6.2, 5.9)","(21.0, 70.0, 50.0)"
15-12-2022 10:48:59.411180,"(6.5, 8.0, 7.066666666666666)","(3.4, 4.4, 4.3875)","(10.0, 22.0, 19.0)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.55)","(15.0, 27.0, 22.0)","(4.6, 6.2, 6.0)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:00.654934,"(6.5, 8.0, 7.066666666666666)","(3.4, 4.4, 4.3875)","(10.0, 24.0, 19.5)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.4428571428571426)","(15.0, 27.0, 20.0)","(4.6, 6.2, 6.0)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:02.059177,"(6.5, 8.0, 7.066666666666666)","(3.4, 4.4, 4.315625)","(10.0, 24.0, 20.57142857142857)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.4034482758620688)","(15.0, 27.0, 21.5)","(4.6, 6.2, 6.0)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:03.239390,"(6.5, 8.0, 7.341176470588235)","(3.4, 4.4, 4.315625)","(10.0, 24.0, 20.57142857142857)","(21.0, 60.0, 42.5)","(3.0, 3.6, 3.4749999999999996)","(15.0, 27.0, 21.5)","(4.6, 6.2, 5.758823529411765)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:04.339497,"(6.5, 7.6, 7.242857142857142)","(3.4, 4.4, 4.318181818181818)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.55, 3.4749999999999996)","(15.0, 27.0, 21.5)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:05.574651,"(6.5, 7.6, 7.485714285714286)","(3.4, 4.4, 4.3100000000000005)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.55, 3.3205882352941174)","(15.0, 27.0, 19.666666666666668)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:06.619439,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.3100000000000005)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3166666666666664)","(15.0, 27.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:07.690029,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.3100000000000005)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3166666666666664)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:08.726994,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.318181818181818)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3416666666666663)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:09.797306,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.318181818181818)","(10.0, 24.0, 18.0)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3416666666666663)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:10.835434,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.318181818181818)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3363636363636364)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:11.925205,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.318181818181818)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3363636363636364)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:12.985055,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.318181818181818)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3363636363636364)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.758823529411765)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:14.051868,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3027777777777776)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:15.120659,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3027777777777776)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:16.208280,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.3027777777777776)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:17.268590,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.305405405405405)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:18.329165,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 25.0, 18.25)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.305405405405405)","(15.0, 40.0, 28.0)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:19.347810,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.282608695652174)","(10.0, 24.0, 20.8)","(21.0, 60.0, 42.5)","(3.0, 3.4, 3.305405405405405)","(15.0, 38.0, 27.5)","(4.6, 5.9, 5.677777777777778)","(21.0, 70.0, 61.42857142857143)"
15-12-2022 10:49:20.388813,"(6.5, 7.6, 7.538461538461538)","(3.4, 4.4, 4.3875)","(10.0, 24.0, 20.8)","(21.0, 60.0, 42.5)","(3.0, 3.35, 3.2785714285714285)","(15.0, 38.0, 27.5)","(4.6, 5.9, 5.966666666666667)","(21.0, 70.0, 50.0)"
15-12-2022 10:49:21.431377,"(6.5, 7.6, 7.527272727272727)","(3.4, 4.6, 4.22)","(10.0, 19.5, 18.545454545454547)","(21.0, 29.0, 25.75)","(3.0, 3.25, 3.2409090909090907)","(15.0, 38.0, 26.75)","(4.6, 6.2, 5.8)","(21.0, 70.0, 51.333333333333336)"
15-12-2022 10:49:22.434183,"(6.5, 7.6, 7.3999999999999995)","(3.6, 4.6, 4.22)","(10.0, 19.5, 18.333333333333332)","(21.0, 28.0, 27.11111111111111)","(2.9, 3.25, 3.2055555555555557)","(15.0, 38.0, 26.75)","(5.0, 6.0, 5.8)","(21.0, 70.0, 51.333333333333336)"
