,Knobiesmagicsonde,Swiss Horizon,Bank Card,Warriorinthehouse,Gattolottasparkle,Little O Little E,Weavinyouinthedust,Lauras Grand,Iminchargenow,Vegas Princess
12-01-2023 13:28:49.186068,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 80.0)","(15.0, 23.0, 20.25)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 80.0)","(4.0, 6.6, 6.2727272727272725)","(2.35, 3.2, 3.165714285714286)"
12-01-2023 13:28:50.402869,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 80.0)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 80.0)","(4.0, 6.6, 6.2727272727272725)","(2.35, 3.2, 3.165714285714286)"
12-01-2023 13:28:51.689260,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 80.0)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 80.0)","(4.0, 6.6, 6.2444444444444445)","(2.35, 3.2, 3.273846153846154)"
12-01-2023 13:28:53.012221,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 130.0)","(15.0, 23.0, 20.25)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 80.0)","(4.0, 6.6, 5.986363636363636)","(2.35, 3.3, 3.396)"
12-01-2023 13:28:54.309093,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 130.0)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 137.14285714285714)","(4.0, 6.6, 5.986363636363636)","(2.35, 3.5, 3.465333333333333)"
12-01-2023 13:28:55.683494,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 21.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 81.33333333333334)","(4.0, 6.6, 6.1)","(2.35, 3.5, 3.8400000000000003)"
12-01-2023 13:28:56.997954,"(8.0, 9.2, 7.92)","(6.0, 8.8, 8.266666666666667)","(41.0, 180.0, 130.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 130.0)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 130.0)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.466666666666667)"
12-01-2023 13:28:58.311215,"(8.0, 9.2, 8.17142857142857)","(6.0, 8.8, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 130.0)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.466666666666667)"
12-01-2023 13:28:59.561695,"(8.0, 9.8, 7.8538461538461535)","(6.0, 9.0, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.466666666666667)"
12-01-2023 13:29:00.935604,"(8.0, 9.6, 8.866666666666667)","(6.0, 9.0, 8.4)","(41.0, 180.0, 120.0)","(11.0, 16.5, 15.3)","(41.0, 180.0, 81.33333333333334)","(15.0, 23.0, 20.0)","(9.0, 9.4, 9.311111111111112)","(41.0, 180.0, 130.66666666666669)","(4.0, 6.6, 5.986363636363636)","(2.35, 4.4, 3.466666666666667)"
