,Mega Star,Mac Stubborn,Uptotrix,What Now Shannon,Shannons Shadow,Seven Rippin Aces,Always Bopping,Cronin,A Kerry Man,Sheza Rose Nz
05-01-2023 15:46:04.773480,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:06.063346,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:07.363588,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:08.753592,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:10.048260,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:11.251006,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:12.486187,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:13.747677,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:15.009876,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:16.397501,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
05-01-2023 15:46:17.721528,"(3.5, 5.0, 3.8000000000000003)","(5.0, 8.2, 6.55)","(21.0, 75.0, 56.166666666666664)","(2.6, 5.6, 4.748571428571428)","(21.0, 85.0, 62.833333333333336)","(26.0, 110.0, 46.22222222222222)","(10.0, 22.0, 14.0)","(51.0, 220.0, 172.85714285714286)","(51.0, 220.0, 171.42857142857142)","(5.0, 99999, 99990)"
