,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 10:31:56.386325,"(17.0, 29.0, 28.142857142857142)","(26.0, 50.0, 48.857142857142854)","(15.0, 27.0, 25.285714285714285)","(15.0, 21.0, 20.8125)","(41.0, 90.0, 84.28571428571429)","(5.0, 5.9, 5.748387096774193)","(31.0, 80.0, 85.83333333333334)","(4.4, 5.2, 5.158823529411765)","(51.0, 230.0, 210.0)","(1.65, 2.2, 2.1872727272727275)"
07-01-2023 10:31:57.980499,"(17.0, 29.0, 28.142857142857142)","(26.0, 50.0, 49.0)","(15.0, 27.0, 25.285714285714285)","(15.0, 21.0, 20.8125)","(41.0, 90.0, 83.33333333333333)","(5.0, 5.8, 5.723076923076923)","(31.0, 90.0, 69.11764705882354)","(4.4, 5.2, 5.085185185185185)","(51.0, 230.0, 220.9090909090909)","(1.65, 2.2, 2.1882758620689655)"
07-01-2023 10:31:59.585587,"(17.0, 29.0, 27.333333333333332)","(26.0, 50.0, 41.05263157894737)","(15.0, 27.0, 25.8)","(15.0, 21.0, 20.166666666666668)","(41.0, 90.0, 81.53846153846153)","(5.0, 5.9, 5.723809523809524)","(31.0, 70.0, 79.0)","(4.4, 5.1, 5.203030303030303)","(51.0, 230.0, 216.0)","(1.65, 2.2, 2.1550000000000002)"
07-01-2023 10:32:01.223430,"(17.0, 28.0, 26.0)","(26.0, 60.0, 41.666666666666664)","(15.0, 27.0, 23.666666666666668)","(15.0, 21.0, 20.17391304347826)","(41.0, 90.0, 82.0)","(5.0, 5.9, 5.804385964912281)","(31.0, 80.0, 88.33333333333334)","(4.4, 5.3, 5.2894736842105265)","(51.0, 220.0, 220.9090909090909)","(1.65, 2.18, 2.161538461538462)"
07-01-2023 10:32:02.786146,"(17.0, 27.0, 26.0)","(26.0, 60.0, 41.666666666666664)","(15.0, 25.0, 23.666666666666668)","(15.0, 21.0, 20.17391304347826)","(41.0, 90.0, 82.0)","(5.0, 5.9, 5.804385964912281)","(31.0, 90.0, 88.33333333333334)","(4.4, 5.4, 5.2894736842105265)","(51.0, 230.0, 220.9090909090909)","(1.65, 2.18, 2.161538461538462)"
07-01-2023 10:32:04.420847,"(17.0, 27.0, 25.884615384615383)","(26.0, 60.0, 44.0)","(15.0, 27.0, 24.333333333333332)","(15.0, 23.0, 21.09090909090909)","(41.0, 90.0, 83.33333333333333)","(5.0, 6.0, 5.944)","(31.0, 110.0, 88.33333333333334)","(4.4, 5.5, 5.426315789473684)","(51.0, 240.0, 221.53846153846155)","(1.65, 2.12, 2.100425531914894)"
07-01-2023 10:32:05.929368,"(17.0, 27.0, 25.333333333333332)","(26.0, 60.0, 44.705882352941174)","(15.0, 25.0, 23.38095238095238)","(15.0, 23.0, 21.09090909090909)","(41.0, 90.0, 83.33333333333333)","(5.0, 6.0, 5.975)","(31.0, 110.0, 88.33333333333334)","(4.4, 5.7, 5.581818181818182)","(51.0, 300.0, 263.0769230769231)","(1.65, 2.1, 2.0752941176470587)"
07-01-2023 10:32:07.382342,"(17.0, 28.0, 26.5)","(26.0, 60.0, 46.31578947368421)","(15.0, 25.0, 22.45)","(15.0, 23.0, 20.367346938775512)","(41.0, 90.0, 79.28571428571429)","(5.0, 6.0, 5.985714285714286)","(31.0, 110.0, 95.0)","(4.4, 5.7, 5.631578947368421)","(51.0, 290.0, 283.125)","(1.65, 2.1, 2.0813333333333333)"
07-01-2023 10:32:08.928858,"(17.0, 28.0, 26.5)","(26.0, 60.0, 49.75)","(15.0, 25.0, 22.45)","(15.0, 23.0, 20.367346938775512)","(41.0, 90.0, 79.28571428571429)","(5.0, 6.0, 5.985714285714286)","(31.0, 110.0, 87.3913043478261)","(4.4, 5.7, 5.614285714285714)","(51.0, 290.0, 306.3157894736842)","(1.65, 2.1, 2.0828571428571427)"
07-01-2023 10:32:10.472213,"(17.0, 27.0, 26.333333333333332)","(26.0, 55.0, 49.75)","(15.0, 25.0, 22.45)","(15.0, 23.0, 20.3125)","(41.0, 90.0, 79.28571428571429)","(5.0, 6.0, 5.985714285714286)","(31.0, 110.0, 88.18181818181819)","(4.4, 5.7, 5.647826086956522)","(51.0, 340.0, 321.1764705882353)","(1.65, 2.1, 2.0854545454545454)"
