,Velocity Lara,Chasing Jason,Sunset Shieva,More Beers,Press Agent,Hurricane Villa,Sunset Bling
11-01-2023 20:57:58.944987,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:57:59.928930,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:00.854125,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:01.895281,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:02.949044,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:04.038747,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:05.131576,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:06.151793,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 3.0199999999999996)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:07.104767,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:08.164685,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:09.140111,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:10.125088,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:11.125363,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:12.080059,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:13.041837,"(3.1, 5.1, 4.591304347826087)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:14.088338,"(3.1, 5.1, 3.675)","(2.25, 3.8, 3.0349999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:15.137475,"(3.1, 5.1, 3.675)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:16.176699,"(3.1, 5.1, 3.675)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:17.234448,"(3.1, 5.1, 3.675)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:18.335452,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:19.332017,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:20.296835,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:21.299006,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:22.300356,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:23.360470,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:24.428663,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:25.441698,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:26.499101,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:27.467479,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:28.493063,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:29.434557,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:30.457919,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:31.450233,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
11-01-2023 20:58:32.461460,"(3.1, 5.1, 3.557142857142857)","(2.25, 3.8, 2.8819999999999997)","(4.8, 8.0, 6.68)","(12.0, 27.0, 20.8)","(16.0, 42.0, 24.5)","(21.0, 75.0, 56.71875)","(7.0, 12.0, 10.896551724137932)"
