,Boomis Buddy,Publicans Purse,Agarn,Just So Fancy,All Dash,Devillain,Summer Star,Divenire,Flick,Boitumelo,Illecebrous,Kallie
12-01-2023 15:26:55.735110,"(2.15, 2.38, 2.3445454545454543)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 24.4)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.655172413793103)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 36.0, 30.0)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:26:57.315743,"(2.15, 2.42, 2.3445454545454543)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 24.4)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.655172413793103)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 36.0, 30.666666666666668)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:26:58.883825,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 24.4)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.655172413793103)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 38.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:00.711640,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:02.429225,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:04.120036,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.75)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:05.833555,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:07.610913,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:09.288659,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.375)","(8.0, 11.5, 10.8)","(16.0, 28.0, 26.2)","(51.0, 130.0, 120.0)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 31.0)","(17.0, 38.0, 35.333333333333336)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:10.881136,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.5, 9.933333333333334)","(16.0, 28.0, 24.6)","(51.0, 130.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 34.0, 29.333333333333332)","(18.0, 34.0, 28.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:12.439966,"(2.15, 2.42, 2.346222222222222)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 24.09090909090909)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 34.0, 34.61538461538461)","(18.0, 32.0, 28.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:14.056729,"(2.15, 2.42, 2.3478260869565215)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 24.09090909090909)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 34.61538461538461)","(18.0, 32.0, 29.5)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:15.633842,"(2.15, 2.42, 2.3478260869565215)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 24.09090909090909)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 34.61538461538461)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:17.207836,"(2.15, 2.42, 2.3478260869565215)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 34.61538461538461)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:18.768505,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 34.61538461538461)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:20.425256,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 34.61538461538461)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
12-01-2023 15:27:22.044502,"(2.15, 2.42, 2.330752688172043)","(7.0, 13.0, 12.722222222222221)","(8.0, 11.0, 9.933333333333334)","(16.0, 26.0, 22.1)","(51.0, 120.0, 83.33333333333333)","(6.0, 8.4, 7.672727272727273)","(31.0, 42.0, 38.666666666666664)","(16.0, 21.0, 20.8)","(26.0, 36.0, 35.06666666666666)","(18.0, 32.0, 30.0)","(17.0, 38.0, 34.0)","(13.0, 21.0, 19.0)"
