,Vodka Martini,Debs Ellie,Elliez Star,Sunset Soiree,Tres Redoute,Alpha Jane,Evanescent,Russian Pins
07-01-2023 15:50:20.591343,"(2.2, 2.44, 2.4152941176470586)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 200.0, 122.85714285714286)"
07-01-2023 15:50:21.957840,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 200.0, 122.85714285714286)"
07-01-2023 15:50:23.194929,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 200.0, 150.0)"
07-01-2023 15:50:24.509006,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:25.700488,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:26.869389,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:28.030185,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:29.074622,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:30.211348,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:31.402838,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:32.610316,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.4, 5.885714285714285)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:33.921205,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.88)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
07-01-2023 15:50:35.030104,"(2.2, 2.44, 2.428)","(8.0, 12.5, 11.48)","(12.0, 19.5, 17.0)","(3.6, 5.2, 5.057142857142857)","(5.0, 6.2, 5.88)","(11.0, 17.5, 14.833333333333334)","(26.0, 90.0, 64.0)","(101.0, 190.0, 150.0)"
