,Emmeline Vance,Bundy Traveller,Dynamite Hope,Clawfoot,Spring Aster,Sneaky Jim,Tuta Delta,Farmor Truth
09-01-2023 11:33:03.780745,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:05.018028,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:06.252351,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:07.462223,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:08.672274,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:09.845681,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:11.041834,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:12.205574,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:13.317700,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:14.290487,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:15.339252,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:16.457729,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:17.621487,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:18.818119,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:20.044870,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:21.232016,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 7.2875)"
09-01-2023 11:33:22.472622,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 11.0, 9.7)","(8.5, 18.5, 10.933333333333334)","(14.0, 38.0, 31.310344827586206)","(4.8, 8.0, 5.333333333333333)","(4.2, 8.6, 6.225)"
09-01-2023 11:33:23.690240,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.310344827586206)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:24.894365,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:26.164023,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:27.336783,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:28.574704,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:29.802711,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:31.056177,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 31.333333333333332)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:32.341886,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:33.597178,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:34.866946,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:36.089541,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:37.347476,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:38.609969,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:39.841444,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:41.119081,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:42.388334,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:43.634859,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:44.963170,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:46.309786,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:47.792099,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:49.123579,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:50.430228,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:51.849381,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:53.121577,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:54.336841,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:55.595178,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:56.798127,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:57.992029,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:33:59.215583,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:00.454583,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:01.656667,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:02.875563,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:04.005235,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:05.221028,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:06.302279,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:07.332521,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:08.388524,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:09.524928,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:10.705608,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:11.898801,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:13.134557,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:14.408012,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:15.586823,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:16.789481,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:18.020927,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:19.279868,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:20.546316,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:21.773245,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:23.025245,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:24.312226,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:25.555254,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:26.775497,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:27.991756,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:29.286742,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:30.646663,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:31.905101,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:33.184789,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:34.459946,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:35.719431,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:36.974456,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:38.221214,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:39.449814,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:40.577694,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:41.957230,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
09-01-2023 11:34:43.426823,"(10.0, 23.0, 22.042857142857144)","(3.1, 5.1, 3.9749999999999996)","(9.0, 25.0, 21.05)","(6.0, 10.5, 9.7)","(8.5, 16.0, 10.933333333333334)","(14.0, 32.0, 30.18181818181818)","(4.8, 8.0, 5.333333333333333)","(4.2, 6.6, 6.225)"
