,Emmeline Vance,Bundy Traveller,Dynamite Hope,Clawfoot,Spring Aster,Sneaky Jim,Tuta Delta,Farmor Truth
09-01-2023 11:27:22.762407,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:24.023107,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:25.246113,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:26.412429,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:27.532632,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:28.716796,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:29.718203,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:30.832213,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:32.012992,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:33.246363,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:34.434049,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:35.632518,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:36.886981,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:38.084040,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:39.318645,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:40.502830,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:41.718792,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:42.909918,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:44.125284,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:45.347386,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:46.573627,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:47.801554,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:49.049942,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:50.333398,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:51.525721,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:52.734686,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:53.935407,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:55.104829,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:56.256672,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:57.336720,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:58.337774,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:27:59.356097,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:00.470105,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:01.640157,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:02.831466,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:04.047885,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:05.291413,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:06.478692,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:07.638869,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:08.808987,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:10.088520,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:11.314976,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:12.535910,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:13.770757,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:14.980196,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:16.271106,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:17.515391,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:18.753949,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
09-01-2023 11:28:19.973301,"(10.0, 25.0, 20.72222222222222)","(3.1, 5.1, 3.933333333333333)","(9.0, 25.0, 21.05)","(6.0, 11.0, 8.879999999999999)","(8.5, 18.5, 9.842857142857143)","(14.0, 38.0, 34.06060606060606)","(4.8, 10.5, 5.2749999999999995)","(4.2, 8.6, 7.2875)"
