,Sirius Lulu,Little Joe,Charlotte Dream,Winlock Lad,Indigo,Pick Up Gus,Baby Magic,Tara Swift
11-01-2023 15:41:45.258271,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.392857142857143)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:46.547247,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.392857142857143)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:47.789454,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.392857142857143)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:49.052573,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.585)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:50.162646,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.3)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:51.345823,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.25)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.6, 3.3)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:52.652934,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.682926829268293)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.6, 3.3)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:53.930570,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.682926829268293)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.6, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:55.141446,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.682926829268293)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
11-01-2023 15:41:56.451472,"(6.0, 11.0, 7.933333333333334)","(9.0, 23.0, 16.3)","(3.7, 5.4, 4.647058823529412)","(13.0, 26.0, 25.682926829268293)","(9.0, 19.5, 16.442857142857143)","(3.3, 3.65, 3.2214285714285715)","(4.0, 8.2, 4.7875)","(31.0, 170.0, 100.0)"
