,Fantastic Faith,Aston Presley,French Wish,Mo Slater,Orson Ruby
16-12-2022 11:45:49.097089,"(3.9, 5.6, 5.163636363636363)","(7.0, 14.0, 13.5)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:49.948836,"(3.9, 5.6, 4.76)","(7.0, 14.0, 13.333333333333332)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:50.745512,"(3.9, 5.6, 4.9)","(7.0, 14.0, 12.75)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:51.556760,"(3.9, 5.6, 4.9)","(7.0, 14.0, 12.105263157894736)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:52.433809,"(3.9, 5.6, 4.9)","(7.0, 14.0, 12.105263157894736)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:53.430209,"(3.9, 5.6, 4.9)","(7.0, 14.0, 12.105263157894736)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:54.283386,"(3.9, 5.6, 4.9)","(7.0, 14.0, 12.105263157894736)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 105.38461538461539)"
16-12-2022 11:45:55.151508,"(3.9, 5.6, 4.819999999999999)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 194.0)"
16-12-2022 11:45:55.996469,"(3.9, 5.6, 4.819999999999999)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.2, 2.1205882352941177)","(3.1, 5.2, 4.986666666666666)","(51.0, 290.0, 243.0)"
16-12-2022 11:45:56.872276,"(3.9, 5.6, 5.4359375)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.38, 2.1222222222222222)","(3.1, 5.2, 4.909090909090909)","(51.0, 290.0, 243.0)"
16-12-2022 11:45:57.746464,"(3.9, 5.6, 5.27)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.36, 2.1028571428571428)","(3.1, 5.2, 4.836363636363637)","(51.0, 290.0, 243.0)"
16-12-2022 11:45:58.596731,"(3.9, 5.6, 5.324999999999999)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.34, 2.023823529411765)","(3.1, 5.2, 4.894444444444445)","(51.0, 290.0, 243.0)"
16-12-2022 11:45:59.479570,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 1.972)","(3.1, 5.2, 4.933333333333334)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:00.382115,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.836363636363637)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:01.194212,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.836363636363637)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:02.040956,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:02.899880,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:03.776856,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.5, 12.944444444444445)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:04.625827,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.0, 12.555555555555555)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 290.0, 243.0)"
16-12-2022 11:46:05.453433,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.0, 12.5)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 410.0, 244.33333333333334)"
16-12-2022 11:46:06.371189,"(3.9, 5.6, 5.163636363636363)","(7.0, 13.0, 12.5)","(1.95, 2.3, 2.0028571428571427)","(3.1, 5.2, 4.844444444444444)","(51.0, 390.0, 216.0)"
16-12-2022 11:46:07.216168,"(3.9, 5.6, 4.76)","(7.0, 13.0, 12.5)","(1.95, 2.26, 2.17)","(3.1, 5.2, 4.844444444444444)","(51.0, 390.0, 158.0)"
16-12-2022 11:46:08.118942,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.5)","(1.95, 2.28, 2.210909090909091)","(3.1, 5.2, 4.844444444444444)","(51.0, 390.0, 158.0)"
16-12-2022 11:46:08.958446,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.5)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 390.0, 158.0)"
16-12-2022 11:46:09.915996,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.5)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 390.0, 158.0)"
16-12-2022 11:46:10.809297,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:11.627019,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:12.465176,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:13.356898,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:14.246968,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(1.95, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:15.080981,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
16-12-2022 11:46:15.880367,"(3.9, 5.6, 4.957142857142856)","(7.0, 13.0, 12.636363636363637)","(2.0, 2.26, 2.04125)","(3.1, 5.2, 4.844444444444444)","(51.0, 370.0, 206.0)"
