,Baozun,Eyes On Red,Helluva Life,Victory Stripe,Fort Knox,Charing Cross,Concrete Finisher,Frosted Prayer,Moro Warrior,Great Faces,Hoodoo Brown
16-12-2022 12:44:51.889970,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.266666666666666)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 12.533333333333333)","(26.0, 36.0, 44.166666666666664)","(21.0, 44.0, 22.0)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.516666666666667)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:53.193230,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.266666666666666)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.0)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.516666666666667)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:54.442350,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 9.266666666666666)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 22.0)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.571428571428571)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:55.686198,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.0, 8.533333333333333)","(2.7, 3.0, 2.8019999999999996)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.163636363636364)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:56.949252,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.15)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:58.176323,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.15)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:44:59.478050,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.15)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 5.933333333333334)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:00.757508,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 10.05)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 5.8)","(10.0, 20.0, 12.533333333333333)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:02.028622,"(17.0, 25.0, 24.272727272727273)","(8.0, 10.5, 9.875)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.0)","(10.0, 20.0, 16.066666666666666)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 32.83333333333333)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
16-12-2022 12:45:03.379260,"(17.0, 25.0, 24.272727272727273)","(8.0, 11.0, 9.714285714285714)","(2.7, 3.0, 2.8476923076923075)","(31.0, 610.0, 581.2820512820513)","(9.0, 6.4, 6.163636363636364)","(10.0, 20.0, 12.4)","(26.0, 50.0, 44.166666666666664)","(21.0, 44.0, 34.42857142857143)","(21.0, 240.0, 157.5)","(3.8, 6.8, 6.5)","(7.0, 18.0, 16.833333333333332)"
