,Cruisy Magic,Stopped Short,Aston Mele,Vlasta Bale,Cruising Loren,Holtorf Bale
07-12-2022 18:37:38.217865,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:39.070818,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:39.921918,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:40.842470,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:41.799043,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:42.815234,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:43.745960,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:44.714370,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
07-12-2022 18:37:45.614190,"(31.0, 99998, 9998.5)","(2.2, 99998, 9998.5)","(3.4, 99998, 9998.5)","(16.0, 99998, 9998.5)","(61.0, 99998, 9998.5)","(2.8, 99998, 9998.5)"
