,Bellicose,Dinnys A Suspect,Jimmy Neutron,Skilled Artist,Anthropica,Courtingrock,Kaique,Russian Warrior,Stellar
12-01-2023 17:16:47.008197,"(11.0, 19.5, 19.1)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.4981818181818183)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:48.126021,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:49.339818,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:50.515801,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:51.629994,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.0125)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:52.748308,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.128571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:53.777194,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.128571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:54.874292,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.128571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:56.060033,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 27.77777777777778)","(7.0, 10.5, 10.128571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
12-01-2023 17:16:57.263460,"(11.0, 19.5, 19.333333333333332)","(19.0, 30.0, 28.0)","(7.0, 10.5, 10.128571428571428)","(15.0, 29.0, 27.0)","(7.5, 13.0, 12.666666666666666)","(41.0, 190.0, 127.5)","(31.0, 60.0, 56.0)","(1.3, 1.52, 1.5056716417910447)","(91.0, 210.0, 182.5)"
