,Velocity Touched,Kingsbrae Wilma,Chicago Reign,Cherry Chunker,Betty Kingsbrae,Extreme Measures,Zoe Kate,Bugatti Fierce
15-12-2022 13:46:30.938948,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.4, 8.333333333333334)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.384615384615383)"
15-12-2022 13:46:32.110755,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.4, 8.333333333333334)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.384615384615383)"
15-12-2022 13:46:33.303388,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.4, 8.333333333333334)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.384615384615383)"
15-12-2022 13:46:34.477334,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.4, 8.333333333333334)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.384615384615383)"
15-12-2022 13:46:35.615403,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.4, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:36.721737,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:37.932697,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:39.112457,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.0)"
15-12-2022 13:46:40.356241,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
15-12-2022 13:46:41.523010,"(4.4, 7.8, 5.585714285714285)","(15.0, 36.0, 19.11111111111111)","(1.85, 2.26, 2.2457142857142856)","(18.0, 55.0, 31.923076923076923)","(18.0, 60.0, 24.0)","(5.0, 9.2, 8.1)","(20.0, 65.0, 30.875)","(8.5, 19.5, 17.576923076923077)"
