,Crowdza Blest,Benky Lily,Locknane Shell,Buckle Up Hazel,Buckle Up Avery,Bonnie Danger,Dewana Be Dean,Sticker Sting
0,"[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 5, 370834), 10.0, 26.0]"
1,"[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 6, 512891), 10.0, 26.0]"
2,"[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 7, 652630), 10.0, 26.0]"
3,"[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 8, 780804), 10.0, 26.0]"
4,"[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 9, 919797), 10.0, 26.0]"
5,"[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 11, 50603), 10.0, 26.0]"
6,"[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 12, 192370), 10.0, 26.0]"
7,"[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 13, 331633), 10.0, 26.0]"
8,"[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 14, 472045), 10.0, 26.0]"
9,"[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 15, 605664), 10.0, 26.0]"
10,"[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 8.0, 17.5]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 6.5, 12.0]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 2.6, 3.85]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 3.0, 4.3]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 8.5, 18.0]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 16.0, 40.0]","[datetime.datetime(2022, 11, 28, 19, 45, 16, 742581), 10.0, 26.0]"
