,Our Roys Dream,Point Oh Five,Rainbow Jet,Zoemagic,Balboa Shannon,Sir Macador Nz,Mythos,Brie,Montana Nights
05-01-2023 14:06:08.950554,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.9582608695652173)","(7.0, 9.8, 9.666666666666668)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:10.178913,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.64)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:11.558284,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.64)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:13.114843,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.64)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:14.551150,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.64)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:16.059780,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.475)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:17.527924,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.7)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:18.940957,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.7)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:20.230357,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.7)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
05-01-2023 14:06:21.528671,"(6.5, 10.5, 8.25)","(1.8, 3.2, 2.2800000000000002)","(7.0, 10.0, 9.77142857142857)","(5.0, 7.8, 5.933333333333334)","(21.0, 70.0, 50.0)","(19.0, 99999, 99990)","(13.0, 29.0, 25.0)","(26.0, 70.0, 43.14285714285714)","(31.0, 110.0, 62.75)"
