,Bello Beau,Bokeo,Cornelian Bay,Happy Clan,Sharmas Last,Alvarinho,Cloudy Nights,Flying To Paris,Jaguar Stone,Just A Needs,Piiink Beauty
14-12-2022 19:48:52.723275,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 57.5)","(8.5, 10.5, 9.6)","(51.0, 230.0, 155.0)","(51.0, 200.0, 110.0)","(19.0, 36.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 38.0, 31.714285714285715)"
14-12-2022 19:48:54.201158,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 57.5)","(8.5, 10.5, 9.7)","(51.0, 220.0, 150.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:48:55.687863,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 57.5)","(8.5, 10.0, 9.7)","(51.0, 220.0, 150.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:48:57.170347,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 57.5)","(8.5, 10.0, 9.7)","(51.0, 220.0, 150.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:48:58.648782,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 57.5)","(8.5, 10.0, 9.7)","(51.0, 220.0, 150.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:49:00.134979,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 38.0)","(13.0, 29.0, 24.25)","(51.0, 65.0, 60.0)","(8.5, 10.0, 9.6)","(51.0, 220.0, 150.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.57142857142857)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:49:01.632700,"(1.6, 1.93, 1.8933333333333333)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 24.25)","(51.0, 65.0, 56.666666666666664)","(8.5, 10.5, 9.6)","(51.0, 220.0, 173.33333333333331)","(51.0, 200.0, 110.0)","(19.0, 34.0, 30.857142857142858)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.25)","(15.0, 60.0, 31.714285714285715)"
14-12-2022 19:49:02.988363,"(1.6, 1.93, 1.8925)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 24.25)","(51.0, 60.0, 56.666666666666664)","(8.5, 10.5, 9.6)","(51.0, 220.0, 184.0)","(51.0, 200.0, 110.0)","(19.0, 34.0, 29.42857142857143)","(6.5, 6.8, 6.371428571428572)","(19.0, 19.5, 19.9375)","(15.0, 60.0, 41.0)"
14-12-2022 19:49:04.427647,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 24.25)","(51.0, 60.0, 56.666666666666664)","(8.5, 10.5, 10.106250000000001)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 32.0, 27.375)","(6.5, 6.8, 6.44)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 41.0)"
14-12-2022 19:49:05.837645,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 56.666666666666664)","(8.5, 10.5, 10.15)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 30.0, 27.375)","(6.5, 6.8, 6.63125)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 41.0)"
14-12-2022 19:49:07.274906,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(8.5, 10.5, 10.15)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 30.0, 27.375)","(6.5, 6.8, 6.63125)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 41.0)"
14-12-2022 19:49:08.794246,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(8.5, 10.5, 10.15)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 30.0, 27.375)","(6.5, 6.8, 6.63125)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 41.0)"
14-12-2022 19:49:10.293171,"(1.6, 1.91, 1.88)","(26.0, 42.0, 39.33333333333333)","(13.0, 29.0, 27.8)","(51.0, 60.0, 58.90909090909091)","(8.5, 10.5, 10.15)","(51.0, 210.0, 184.0)","(51.0, 200.0, 98.75)","(19.0, 30.0, 27.375)","(6.5, 6.8, 6.714285714285714)","(19.0, 20.0, 19.94736842105263)","(15.0, 55.0, 31.0)"
