,Fat Boy Mantra,Hooked On Prissy,Levis Beach,Bow Six,Greek Malt,Monkey Paw,Loves To Talk
12-01-2023 13:50:16.611981,"(4.0, 9.8, 9.4)","(3.9, 4.9, 4.8269230769230775)","(41.0, 190.0, 145.0)","(20.0, 42.0, 29.25)","(91.0, 460.0, 340.0)","(1.55, 1.78, 1.7044444444444444)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:17.702075,"(4.0, 9.8, 9.4)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 112.5)","(20.0, 42.0, 29.25)","(91.0, 510.0, 340.0)","(1.55, 1.78, 1.7044444444444444)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:18.773273,"(4.0, 9.8, 9.4)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 29.25)","(91.0, 460.0, 218.33333333333334)","(1.55, 1.78, 1.7044444444444444)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:19.896650,"(4.0, 9.8, 9.4)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 29.25)","(91.0, 610.0, 394.0)","(1.55, 1.78, 1.7023076923076923)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:21.129750,"(4.0, 11.5, 10.285714285714286)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 29.25)","(91.0, 450.0, 394.0)","(1.55, 1.77, 1.7007407407407407)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:22.177560,"(4.0, 11.5, 10.48)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 29.25)","(91.0, 450.0, 394.0)","(1.55, 1.77, 1.7007407407407407)","(15.0, 32.0, 25.5)"
12-01-2023 13:50:23.354363,"(4.0, 11.5, 10.48)","(3.9, 4.9, 4.8269230769230775)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 29.25)","(91.0, 450.0, 394.0)","(1.55, 1.77, 1.703478260869565)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:24.473773,"(4.0, 11.5, 10.65)","(3.9, 4.9, 4.854761904761905)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 27.428571428571427)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:25.497514,"(4.0, 11.5, 10.65)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 27.428571428571427)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:26.619006,"(4.0, 11.5, 10.65)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 27.428571428571427)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:27.808293,"(4.0, 11.5, 11.125)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 30.0)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:28.967256,"(4.0, 11.5, 11.125)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 30.0)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:30.166214,"(4.0, 11.5, 11.166666666666666)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:31.283474,"(4.0, 11.5, 11.166666666666666)","(3.9, 4.9, 4.6000000000000005)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 450.0, 394.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:32.317034,"(4.0, 11.5, 11.166666666666666)","(3.9, 4.9, 4.081818181818182)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 450.0, 442.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:33.351273,"(4.0, 11.5, 11.166666666666666)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 510.0, 442.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:34.476003,"(4.0, 12.5, 9.933333333333334)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 510.0, 442.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:35.673842,"(4.0, 12.5, 10.02)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 510.0, 455.0)","(1.55, 1.76, 1.7016666666666667)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:36.771138,"(4.0, 12.5, 11.05)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 510.0, 464.2857142857143)","(1.55, 1.76, 1.7121052631578948)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:37.796316,"(4.0, 12.5, 11.05)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 28.285714285714285)","(91.0, 510.0, 464.2857142857143)","(1.55, 1.75, 1.6966666666666665)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:38.808964,"(4.0, 12.5, 11.05)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 28.285714285714285)","(91.0, 510.0, 350.0)","(1.55, 1.75, 1.6953571428571428)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:39.886210,"(4.0, 12.5, 11.7)","(3.9, 4.9, 4.04)","(41.0, 200.0, 106.66666666666667)","(20.0, 42.0, 30.0)","(91.0, 510.0, 355.0)","(1.55, 1.75, 1.6953571428571428)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:40.995018,"(4.0, 12.5, 11.807692307692308)","(3.9, 4.9, 4.04)","(41.0, 200.0, 111.11111111111111)","(20.0, 42.0, 28.285714285714285)","(91.0, 510.0, 325.0)","(1.55, 1.75, 1.6953571428571428)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:42.142944,"(4.0, 12.5, 11.807692307692308)","(3.9, 4.9, 4.225)","(41.0, 200.0, 120.0)","(20.0, 42.0, 28.285714285714285)","(91.0, 450.0, 325.0)","(1.55, 1.75, 1.665)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:43.248546,"(4.0, 12.5, 11.807692307692308)","(3.9, 4.8, 4.2)","(41.0, 200.0, 120.0)","(20.0, 42.0, 28.285714285714285)","(91.0, 450.0, 325.0)","(1.55, 1.75, 1.681)","(15.0, 32.0, 19.0)"
12-01-2023 13:50:44.328128,"(4.0, 12.5, 11.807692307692308)","(4.0, 4.8, 4.133333333333333)","(41.0, 200.0, 120.0)","(21.0, 42.0, 28.285714285714285)","(91.0, 450.0, 270.0)","(1.5, 1.75, 1.73)","(15.0, 32.0, 19.0)"
