,Zabellsareringing,Poppie Socks,Pride Of Dixie,Sharp Pride,Side Cash,Cellar Champ,Driving Ambition,Emmjay,Les Goh,Iron Ruler,Lonhro Lily,Military Manoeuver,Siasha Jewel,Grosses Plain
05-01-2023 13:25:03.472043,"(9.0, 10.0, 9.466666666666667)","(81.0, 220.0, 188.75)","(19.0, 55.0, 44.33333333333333)","(31.0, 120.0, 93.81818181818181)","(21.0, 48.0, 36.5)","(12.0, 23.0, 18.6)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.2, 7.914285714285715)","(8.5, 24.0, 20.6)","(10.0, 16.5, 16.1)","(4.2, 5.4, 5.266666666666667)","(4.4, 5.8, 5.683333333333334)","(71.0, 200.0, 160.0)"
05-01-2023 13:25:05.081210,"(9.0, 10.0, 9.466666666666667)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 49.18181818181819)","(31.0, 100.0, 70.6)","(21.0, 48.0, 38.14285714285714)","(12.0, 21.0, 18.333333333333332)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.676923076923077)","(8.5, 24.0, 18.05)","(10.0, 16.5, 18.863636363636363)","(4.2, 5.4, 5.185714285714286)","(4.4, 5.8, 6.369230769230769)","(71.0, 200.0, 140.0)"
05-01-2023 13:25:06.745917,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 39.0)","(31.0, 95.0, 65.5)","(21.0, 48.0, 41.8)","(12.0, 21.0, 19.166666666666668)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.6, 7.88)","(8.5, 24.0, 20.0)","(10.0, 19.5, 17.916666666666664)","(4.2, 5.4, 5.185714285714286)","(4.4, 6.6, 6.2)","(71.0, 200.0, 162.5)"
05-01-2023 13:25:08.298780,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 39.5)","(31.0, 95.0, 65.5)","(21.0, 46.0, 41.8)","(12.0, 20.0, 19.166666666666668)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.2, 7.88)","(8.5, 23.0, 20.0)","(10.0, 19.0, 17.916666666666664)","(4.2, 5.4, 5.185714285714286)","(4.4, 6.4, 6.2)","(71.0, 190.0, 140.0)"
05-01-2023 13:25:09.921377,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 48.111111111111114)","(31.0, 95.0, 65.5)","(21.0, 46.0, 41.8)","(12.0, 21.0, 20.0)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 19.4)","(10.0, 19.0, 17.916666666666664)","(4.2, 5.4, 5.185714285714286)","(4.4, 6.4, 6.2)","(71.0, 180.0, 140.0)"
05-01-2023 13:25:11.424187,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 48.111111111111114)","(31.0, 95.0, 65.5)","(21.0, 46.0, 41.8)","(12.0, 21.0, 20.0)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 19.4)","(10.0, 19.0, 17.916666666666664)","(4.2, 5.4, 5.185714285714286)","(4.4, 6.4, 6.2)","(71.0, 180.0, 140.0)"
05-01-2023 13:25:12.969158,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 48.111111111111114)","(31.0, 95.0, 65.5)","(21.0, 46.0, 41.8)","(12.0, 21.0, 20.0)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 19.4)","(10.0, 19.0, 17.916666666666664)","(4.2, 5.4, 5.185714285714286)","(4.4, 6.4, 6.2)","(71.0, 180.0, 140.0)"
05-01-2023 13:25:14.681045,"(9.0, 10.0, 9.428571428571429)","(81.0, 220.0, 192.22222222222223)","(19.0, 55.0, 47.5)","(31.0, 90.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(12.0, 21.0, 19.285714285714285)","(101.0, 200.0, 153.33333333333334)","(8.5, 10.5, 9.959999999999999)","(6.5, 8.0, 8.066666666666666)","(8.5, 22.0, 17.45)","(10.0, 16.0, 15.416666666666668)","(4.2, 5.4, 5.185714285714286)","(4.4, 5.9, 5.6499999999999995)","(71.0, 160.0, 132.5)"
05-01-2023 13:25:16.224820,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 192.22222222222223)","(19.0, 55.0, 47.5)","(31.0, 80.0, 69.0)","(21.0, 40.0, 37.0)","(12.0, 21.0, 19.285714285714285)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.4, 8.066666666666666)","(8.5, 22.0, 17.45)","(11.0, 16.0, 15.416666666666668)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.8, 5.6499999999999995)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:17.848977,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 192.22222222222223)","(19.0, 55.0, 42.0)","(31.0, 80.0, 68.5)","(21.0, 40.0, 30.0)","(12.0, 21.0, 16.4)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.4, 8.025)","(8.5, 22.0, 17.272727272727273)","(11.0, 16.0, 14.833333333333334)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.8, 5.6499999999999995)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:19.427959,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 195.0)","(19.0, 50.0, 37.0)","(31.0, 75.0, 68.5)","(21.0, 38.0, 34.0)","(12.0, 20.0, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.4, 8.025)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.5, 16.833333333333332)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.8, 5.6499999999999995)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:20.995721,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 136.66666666666666)","(19.0, 48.0, 42.5)","(31.0, 75.0, 54.888888888888886)","(21.0, 50.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.4, 8.025)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.5, 16.5)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.8, 5.607692307692308)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:22.656624,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.5)","(31.0, 70.0, 54.888888888888886)","(21.0, 44.0, 39.5)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.4, 7.971428571428571)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.0, 16.5)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.7, 5.607692307692308)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:24.277936,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.5)","(31.0, 70.0, 64.33333333333334)","(21.0, 44.0, 36.8)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.2, 7.945454545454545)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.0, 16.5)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.7, 5.607692307692308)","(71.0, 150.0, 132.5)"
05-01-2023 13:25:25.913718,"(9.0, 10.0, 9.428571428571429)","(91.0, 220.0, 140.0)","(19.0, 48.0, 42.5)","(31.0, 70.0, 64.33333333333334)","(21.0, 44.0, 35.0)","(12.0, 19.5, 16.833333333333332)","(101.0, 200.0, 153.33333333333334)","(9.0, 10.5, 9.959999999999999)","(6.5, 8.0, 7.945454545454545)","(8.5, 22.0, 17.666666666666668)","(11.0, 18.0, 16.0)","(4.4, 5.4, 5.185714285714286)","(4.4, 5.7, 5.4)","(71.0, 150.0, 132.5)"
