,Elite Bullet,Just Ellie,Bob Barker,Mount Gower,Slam The Door,Winlock Benji,Royal Carmilla,More Dollars
0,"[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 4.6, 7.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 11, 679289), 12.0, 24.0]"
1,"[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 12, 849123), 12.0, 24.0]"
2,"[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 14, 22903), 12.0, 24.0]"
3,"[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 15, 165504), 12.0, 24.0]"
4,"[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 16, 303544), 12.0, 24.0]"
5,"[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 17, 446157), 12.0, 24.0]"
6,"[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 4.6, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 18, 588438), 12.0, 24.0]"
7,"[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 4.6, 6.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 19, 732230), 12.0, 24.0]"
8,"[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 4.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 20, 868580), 12.0, 24.0]"
9,"[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 4.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 22, 9616), 12.0, 24.0]"
10,"[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 4.6, 5.9]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 41.0, 95.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 12.0, 23.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 11.0, 19.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 4.4, 6.2]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 3.0, 5.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 4.2, 11.0]","[datetime.datetime(2022, 11, 28, 18, 33, 23, 153944), 12.0, 24.0]"
