,Tinker Yvonne,Go Gigi Go,Lamont Bale,Atomic Cabang,Autumn Doll,Rebel May Road,Dr Xander,Ricky Bobby Riot
07-12-2022 13:50:35.516493,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 29.029411764705884)","(15.0, 65.0, 59.0625)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:36.873887,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 29.029411764705884)","(15.0, 65.0, 59.0625)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:38.244120,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 29.029411764705884)","(15.0, 65.0, 59.0625)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:39.635119,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 29.029411764705884)","(15.0, 65.0, 59.0625)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:40.983880,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 29.029411764705884)","(15.0, 65.0, 59.0625)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:42.384924,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 15.5)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 28.0)","(15.0, 65.0, 54.6875)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:43.698105,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 28.0)","(15.0, 60.0, 54.6875)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:44.968899,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.8)","(15.0, 60.0, 54.6875)","(5.5, 13.0, 9.8)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:46.293972,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.6875)","(5.5, 13.0, 10.649999999999999)","(2.05, 2.66, 2.2742857142857145)"
07-12-2022 13:50:47.625255,"(8.5, 16.0, 10.571428571428571)","(11.0, 24.0, 14.285714285714285)","(13.0, 27.0, 23.75)","(4.6, 5.9, 5.323076923076924)","(14.0, 30.0, 26.125)","(15.0, 60.0, 54.6875)","(5.5, 12.0, 10.649999999999999)","(2.05, 2.66, 2.2742857142857145)"
