,Solar Toby,Kraken Stan,Crymelon Ivy,Crymelon Neptune,Targan Bale,Sin City Angel
10-01-2023 14:45:50.099514,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 40.90909090909091)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:51.181306,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:52.160104,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:53.127658,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:54.079642,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:55.147930,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:56.094192,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:57.169199,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:58.079878,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:45:59.008271,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.136842105263158)"
10-01-2023 14:46:00.000199,"(8.5, 18.0, 11.866666666666667)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.8, 3.23)"
10-01-2023 14:46:01.010148,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:01.905387,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:02.891259,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:03.837820,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:04.909057,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:05.911167,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:06.853444,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:07.750181,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:08.625040,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:09.624173,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:10.601907,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:11.497705,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
10-01-2023 14:46:12.433378,"(8.5, 18.0, 14.32)","(19.0, 60.0, 29.81818181818182)","(13.0, 32.0, 30.227272727272727)","(31.0, 230.0, 101.42857142857143)","(1.7, 1.76, 1.66625)","(2.45, 3.75, 3.23)"
