,Cala Jane,Hittheroadjack Nz,Another Statement,Bombadier Jujon,Rock Bottom Nz,Tommy Lincoln Nz,Make Mine Memphis,Deus Ex Nz,Infatuation Nz,Our Major Day,Northview Hustler Nz
07-01-2023 17:11:07.475178,"(19.0, 24.0, 19.875)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 40.0, 26.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 225.71428571428572)","(2.6, 99999, 99990)"
07-01-2023 17:11:08.933292,"(19.0, 24.0, 19.875)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 26.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 225.71428571428572)","(2.6, 99999, 99990)"
07-01-2023 17:11:10.479178,"(19.0, 24.0, 21.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 26.0)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 225.71428571428572)","(2.6, 99999, 99990)"
07-01-2023 17:11:11.911818,"(19.0, 24.0, 21.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 32.15384615384615)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 225.71428571428572)","(2.6, 99999, 99990)"
07-01-2023 17:11:13.318097,"(19.0, 24.0, 21.3)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:14.691033,"(19.0, 24.0, 22.666666666666668)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 28.5)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:16.178552,"(19.0, 24.0, 23.333333333333332)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:17.520403,"(19.0, 24.0, 23.333333333333332)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:18.837119,"(19.0, 24.0, 23.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:20.128227,"(19.0, 24.0, 23.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:21.524158,"(19.0, 24.0, 23.25)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:22.977136,"(19.0, 24.0, 23.428571428571427)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:24.312937,"(19.0, 24.0, 23.6)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
07-01-2023 17:11:25.655734,"(19.0, 24.0, 23.6)","(26.0, 99999, 99990)","(18.0, 29.0, 25.666666666666668)","(12.0, 15.5, 13.3125)","(7.5, 99999, 99990)","(4.0, 99999, 99990)","(21.0, 34.0, 31.25)","(5.5, 99999, 99990)","(17.0, 99999, 99990)","(101.0, 230.0, 216.66666666666666)","(2.6, 99999, 99990)"
