,Know Malice,Homebush Allison,Rowdy Esmay,Homebush Sabre,Tane Mahuta,Rockdale Flora,Flashback Fred
10,"[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 24, 667226), 3.4, 6.4]"
11,"[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 25, 806275), 3.4, 6.4]"
12,"[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 26, 956148), 3.4, 6.4]"
13,"[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 28, 82252), 3.4, 6.4]"
14,"[datetime.datetime(2022, 11, 28, 11, 41, 29, 230112), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 29, 231113), 3.4, 6.4]"
15,"[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 2.15, 3.2]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 30, 352407), 3.4, 6.4]"
16,"[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 31, 480525), 3.4, 6.4]"
17,"[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 32, 595208), 3.4, 6.4]"
18,"[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 33, 717099), 3.4, 6.4]"
19,"[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 4.6, 7.8]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 31.0, 340.0]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 2.15, 3.15]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 21.0, 220.0]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 5.5, 12.0]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 10.0, 21.0]","[datetime.datetime(2022, 11, 28, 11, 41, 34, 835221), 3.4, 6.4]"
