,Feisty Jane,Charlie Dee,Teddy Sandel,Aces Shadow,Village Lover
0,"[datetime.datetime(2022, 11, 28, 12, 5, 28, 455150), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 28, 455150), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 28, 455150), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 28, 455150), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 28, 455150), 12.0, 16.5]"
1,"[datetime.datetime(2022, 11, 28, 12, 5, 29, 604770), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 29, 604770), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 29, 604770), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 29, 604770), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 29, 604770), 12.0, 16.5]"
2,"[datetime.datetime(2022, 11, 28, 12, 5, 30, 738093), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 30, 738093), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 30, 738093), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 30, 738093), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 30, 738093), 12.0, 16.5]"
3,"[datetime.datetime(2022, 11, 28, 12, 5, 31, 865116), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 31, 865116), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 31, 865116), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 31, 865116), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 31, 865116), 12.0, 16.5]"
4,"[datetime.datetime(2022, 11, 28, 12, 5, 32, 981324), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 32, 981324), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 32, 981324), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 32, 981324), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 32, 981324), 12.0, 16.5]"
5,"[datetime.datetime(2022, 11, 28, 12, 5, 34, 108975), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 34, 108975), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 34, 108975), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 34, 108975), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 34, 108975), 12.0, 16.5]"
6,"[datetime.datetime(2022, 11, 28, 12, 5, 35, 227282), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 35, 227282), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 35, 227282), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 35, 227282), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 35, 227282), 12.0, 16.5]"
7,"[datetime.datetime(2022, 11, 28, 12, 5, 36, 347421), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 36, 347421), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 36, 347421), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 36, 347421), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 36, 347421), 12.0, 16.5]"
8,"[datetime.datetime(2022, 11, 28, 12, 5, 37, 471340), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 37, 471340), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 37, 471340), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 37, 471340), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 37, 471340), 12.0, 16.5]"
9,"[datetime.datetime(2022, 11, 28, 12, 5, 38, 591413), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 38, 591413), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 38, 591413), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 38, 591413), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 38, 591413), 12.0, 16.5]"
10,"[datetime.datetime(2022, 11, 28, 12, 5, 39, 714911), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 39, 714911), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 39, 714911), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 39, 714911), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 39, 714911), 12.0, 16.5]"
11,"[datetime.datetime(2022, 11, 28, 12, 5, 40, 831729), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 40, 831729), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 40, 831729), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 40, 831729), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 40, 831729), 12.0, 16.5]"
12,"[datetime.datetime(2022, 11, 28, 12, 5, 41, 956284), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 41, 956284), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 41, 956284), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 41, 956284), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 41, 956284), 12.0, 16.5]"
13,"[datetime.datetime(2022, 11, 28, 12, 5, 43, 70363), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 43, 70363), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 43, 70363), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 43, 70363), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 43, 70363), 12.0, 16.5]"
14,"[datetime.datetime(2022, 11, 28, 12, 5, 44, 190114), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 44, 190114), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 44, 190114), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 44, 190114), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 44, 190114), 12.0, 16.5]"
15,"[datetime.datetime(2022, 11, 28, 12, 5, 45, 311904), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 45, 311904), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 45, 311904), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 45, 311904), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 45, 311904), 12.0, 16.5]"
16,"[datetime.datetime(2022, 11, 28, 12, 5, 46, 435416), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 46, 435416), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 46, 435416), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 46, 435416), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 46, 435416), 12.0, 16.5]"
17,"[datetime.datetime(2022, 11, 28, 12, 5, 47, 551196), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 47, 551196), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 47, 551196), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 47, 551196), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 47, 551196), 12.0, 16.5]"
18,"[datetime.datetime(2022, 11, 28, 12, 5, 48, 671948), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 48, 671948), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 48, 671948), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 48, 671948), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 48, 671948), 12.0, 16.5]"
19,"[datetime.datetime(2022, 11, 28, 12, 5, 49, 788825), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 49, 788825), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 49, 788825), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 49, 788825), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 49, 788825), 12.0, 16.5]"
20,"[datetime.datetime(2022, 11, 28, 12, 5, 50, 905919), 2.0, 2.78]","[datetime.datetime(2022, 11, 28, 12, 5, 50, 905919), 61.0, 200.0]","[datetime.datetime(2022, 11, 28, 12, 5, 50, 905919), 1.9, 2.62]","[datetime.datetime(2022, 11, 28, 12, 5, 50, 905919), 9.0, 13.0]","[datetime.datetime(2022, 11, 28, 12, 5, 50, 905919), 12.0, 16.5]"
