,Mitcham Xena,Rowdys Rebel,Homebush Zip,Oliviero,Homebush Flick,Nighthawk Blazer,Baptiste,Mr Bigwig
06-01-2023 09:08:17.391287,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:18.448371,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:19.563961,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.8545454545454545)"
06-01-2023 09:08:20.678919,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:21.801251,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:22.866946,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:23.940772,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:25.003738,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:26.049733,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:27.103335,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:28.152002,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.633333333333333)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:29.228705,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:30.285284,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:31.390583,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:32.453555,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:33.473094,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:34.500540,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:35.523509,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:36.614576,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:37.673124,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:38.752023,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:39.805083,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:40.888699,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:41.967847,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:43.089966,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.8545454545454545)"
06-01-2023 09:08:44.191339,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:45.281686,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:46.343563,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:47.402504,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:48.454644,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:49.501073,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:50.615517,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:51.684736,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:52.794146,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.763636363636364)"
06-01-2023 09:08:53.868364,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
06-01-2023 09:08:54.933415,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.8545454545454545)"
06-01-2023 09:08:55.964459,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:57.019174,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:58.073541,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:08:59.106400,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:00.142408,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:01.171213,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:02.146089,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:03.108074,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:04.101742,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:05.111210,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:06.105493,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.8545454545454545)"
06-01-2023 09:09:07.086288,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 21.16470588235294)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:08.105149,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:09.144879,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:10.240826,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:11.266733,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:12.234847,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:13.260985,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:14.311806,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:15.417104,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.8545454545454545)"
06-01-2023 09:09:16.470582,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 20.727272727272727)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.6, 4.763636363636364)"
06-01-2023 09:09:17.506466,"(7.0, 13.5, 12.553333333333335)","(5.5, 11.0, 7.871875000000001)","(19.0, 80.0, 67.3)","(10.0, 22.0, 19.666666666666668)","(19.0, 80.0, 67.3)","(15.0, 180.0, 104.31818181818181)","(2.3, 3.75, 2.7083333333333335)","(3.4, 6.4, 4.763636363636364)"
