,Angelique,Bedaub,Excel Dor,Mishani Royale,Miss Joelene,Mixed Spice,Shes A Rogue,Tracys Spirit,Trifling
07-01-2023 13:07:33.455942,"(20.0, 34.0, 32.666666666666664)","(11.0, 12.5, 12.232620320855615)","(2.35, 2.96, 2.8489999999999998)","(19.0, 20.0, 19.833333333333332)","(17.0, 20.0, 19.77777777777778)","(101.0, 200.0, 170.0)","(3.6, 3.9, 3.911274509803922)","(6.0, 7.0, 6.859016393442623)","(31.0, 40.0, 36.30769230769231)"
07-01-2023 13:07:34.731880,"(20.0, 34.0, 32.666666666666664)","(11.0, 12.5, 12.232620320855615)","(2.45, 2.86, 2.8394029850746265)","(18.0, 20.0, 20.95)","(17.0, 20.0, 19.375)","(91.0, 200.0, 170.0)","(3.5, 3.95, 3.9329787234042555)","(5.5, 7.0, 6.855056179775281)","(31.0, 40.0, 36.30769230769231)"
07-01-2023 13:07:35.967544,"(20.0, 34.0, 32.666666666666664)","(11.0, 12.5, 12.232620320855615)","(2.45, 2.84, 2.8368571428571427)","(18.0, 22.0, 20.892857142857142)","(17.0, 19.5, 19.375)","(91.0, 200.0, 170.0)","(3.5, 3.95, 3.959917355371901)","(5.5, 7.0, 6.849438202247191)","(31.0, 40.0, 36.30769230769231)"
07-01-2023 13:07:37.184160,"(20.0, 34.0, 32.666666666666664)","(11.0, 12.5, 12.15986394557823)","(2.45, 2.84, 2.8368571428571427)","(18.0, 21.0, 20.892857142857142)","(17.0, 19.5, 19.375)","(91.0, 200.0, 170.0)","(3.5, 4.0, 3.882768361581921)","(5.5, 7.0, 6.767272727272727)","(31.0, 40.0, 38.5)"
07-01-2023 13:07:38.388782,"(20.0, 34.0, 32.666666666666664)","(11.0, 12.5, 12.194029850746269)","(2.45, 2.86, 2.8455)","(18.0, 22.0, 21.148936170212767)","(17.0, 19.5, 19.642857142857142)","(91.0, 200.0, 170.0)","(3.5, 3.9, 3.892777777777778)","(5.5, 6.8, 6.745)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:39.556226,"(20.0, 34.0, 32.84444444444444)","(11.0, 12.5, 12.28191489361702)","(2.45, 2.86, 2.8455)","(18.0, 22.0, 21.148936170212767)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 3.9, 3.890845070422535)","(5.5, 6.8, 6.72972972972973)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:40.747701,"(20.0, 34.0, 32.7)","(11.0, 12.5, 12.28191489361702)","(2.45, 2.86, 2.8434285714285714)","(18.0, 22.0, 21.148936170212767)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 3.9, 3.890845070422535)","(5.5, 6.8, 6.681318681318681)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:41.964780,"(20.0, 34.0, 32.7)","(11.0, 12.5, 12.278378378378378)","(2.45, 2.86, 2.849259259259259)","(18.0, 22.0, 21.148936170212767)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 3.9, 3.91864406779661)","(5.5, 6.8, 6.668852459016393)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:43.208588,"(20.0, 34.0, 32.7)","(11.0, 12.5, 12.278378378378378)","(2.45, 2.86, 2.854705882352941)","(18.0, 22.0, 20.857142857142858)","(17.0, 21.0, 20.3125)","(91.0, 200.0, 170.0)","(3.5, 3.95, 3.9293750000000003)","(5.5, 6.8, 6.609523809523809)","(31.0, 40.0, 38.55172413793103)"
07-01-2023 13:07:44.435005,"(20.0, 34.0, 32.7)","(11.0, 12.5, 12.381481481481481)","(2.45, 2.86, 2.854705882352941)","(18.0, 22.0, 20.857142857142858)","(17.0, 21.0, 20.366666666666667)","(91.0, 200.0, 170.0)","(3.5, 3.95, 3.9293750000000003)","(5.5, 6.8, 6.60983606557377)","(31.0, 40.0, 38.55172413793103)"
