,Narito,Aspen Chase,The Great Houdini,Smokeshow,Compassionate,Passeggiata
07-01-2023 12:07:12.863799,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:13.932924,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:15.147675,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:16.325069,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:17.451677,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:18.540842,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:19.614443,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:20.676954,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:21.803658,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
07-01-2023 12:07:22.896866,"(4.2, 5.5, 5.38)","(10.0, 13.5, 13.40625)","(4.4, 5.5, 5.46)","(11.0, 14.5, 13.875)","(20.0, 27.0, 26.333333333333332)","(2.0, 2.38, 2.377084548104956)"
