,Sirius Bill,Shes Sleek,Galloping Black,Just As Nice,Rubeson,Silver Skylark,Sirius Suzie,Skylark Bully
06-01-2023 13:44:30.039753,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:31.478908,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:32.934641,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:34.377879,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:35.748260,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:37.107657,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:38.483642,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 146.66666666666669)"
06-01-2023 13:44:39.902616,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 530.0, 158.0)"
06-01-2023 13:44:41.289432,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 510.0, 143.33333333333331)"
06-01-2023 13:44:42.702594,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 510.0, 143.33333333333331)"
06-01-2023 13:44:43.997171,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 510.0, 143.33333333333331)"
06-01-2023 13:44:45.378897,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 510.0, 156.66666666666669)"
06-01-2023 13:44:46.647136,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:47.921939,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:49.267996,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:50.628254,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
06-01-2023 13:44:51.916475,"(4.0, 6.0, 4.5125)","(8.5, 16.5, 15.0)","(4.0, 6.2, 5.685714285714286)","(11.0, 22.0, 15.88888888888889)","(2.7, 3.4, 2.805)","(20.0, 48.0, 42.1)","(5.0, 8.8, 8.063157894736843)","(91.0, 590.0, 156.66666666666669)"
