,Amuri Andy,Know Ratio,Caesar Lies,Made The Cut,Nighthawk Jink,Right On Ramsay,Miss Adobe,Homebush Archie
16-12-2022 11:46:08.933447,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:10.086994,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:11.181917,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:12.247706,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:13.314896,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:14.406926,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:15.470127,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:16.579775,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:17.708171,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:18.863215,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:20.039642,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:21.087166,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:22.125929,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:23.207530,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:24.301943,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:25.464121,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:26.639271,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:27.712663,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:28.815968,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:29.932616,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:31.051978,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:32.077161,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:33.117850,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
16-12-2022 11:46:34.165831,"(1.95, 2.22, 2.097777777777778)","(13.0, 40.0, 21.333333333333336)","(10.0, 23.0, 16.1)","(2.35, 6.2, 5.432)","(19.0, 230.0, 124.0)","(31.0, 310.0, 168.5)","(14.0, 150.0, 37.08333333333333)","(21.0, 240.0, 117.22222222222223)"
