,Fenton,Ovoid,Reckless Intention,Zillions,Cmon Mate,Charlie Foxtrot,Cyclone Rupert,Lims Synergy,Pennypacker,Star Legacy
08-01-2023 14:27:00.570098,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.5256410256410255)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:01.807684,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.5256410256410255)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:03.042041,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.5256410256410255)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:04.219786,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.5256410256410255)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:05.382567,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.5256410256410255)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:06.541403,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.4063636363636363)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:07.690030,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.2, 4.8)","(2.3, 2.7, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:08.875408,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:10.090316,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:11.352560,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.52)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:12.621583,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 212.72727272727275)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.4485714285714284)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:13.926456,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.4485714285714284)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:15.274854,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.4485714285714284)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:16.536592,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.4485714285714284)","(81.0, 230.0, 211.25)"
08-01-2023 14:27:17.770825,"(7.5, 15.0, 10.988235294117647)","(5.0, 10.0, 8.4)","(31.0, 230.0, 211.20000000000002)","(101.0, 230.0, 211.42857142857144)","(31.0, 230.0, 166.66666666666666)","(12.0, 17.0, 15.0)","(11.0, 25.0, 23.2)","(3.5, 5.1, 4.725)","(2.3, 2.68, 2.4485714285714284)","(81.0, 230.0, 211.25)"
