,Floral Marg,Limitless Speed,Inconsequential,Wild Rumour,New To Me,Jebrynah Astra,Galileo Brae
16-12-2022 12:53:36.899893,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:37.823072,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:38.850227,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:39.879365,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:40.915267,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:41.963797,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:42.916839,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:43.952267,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:45.024152,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:46.078564,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:47.098150,"(4.0, 6.2, 5.75)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:48.048969,"(4.0, 5.9, 4.8500000000000005)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:49.107754,"(4.0, 7.0, 5.7727272727272725)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:50.219023,"(4.0, 7.0, 5.375)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:51.236341,"(4.0, 7.0, 5.375)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:52.211989,"(4.0, 7.0, 5.375)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:53.208320,"(4.0, 6.8, 5.12)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:54.117351,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:55.114441,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
16-12-2022 12:53:56.199326,"(4.0, 6.6, 6.05)","(8.5, 15.0, 12.163636363636364)","(2.25, 3.65, 3.0046666666666666)","(6.0, 11.5, 8.7)","(4.8, 7.8, 6.675)","(31.0, 240.0, 137.0)","(12.0, 24.0, 22.4375)"
